id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
6483,,"Regarding Kevin's idea of passing the parameter to a function that splits the text into a table, here's my implementation of that function from a few years back. Works a treat.
Splitting Text into Words in SQL",,,0,,2008-08-09 00:05:04.847000+00:00,,2008-08-09 00:05:04.847000+00:00,,,,,615.0,6369,2,0,,
6489,,"Yes, there are differences between the two.
Both are anonymous functions and execute in the exact same way. But, the difference between the two is that in the second case scope of the variables is restricted to the anonymous function itself. There is no chance of accidentally adding variables to the global scope.
This implies that by using the second method, you are not cluttering up the global variables scope which is good as these global variable values can interfere with some other global variables that you may use in some other library or are being used in a third party library.
Example:
In the above code the output is something like:
  Hello Inside Function
  Hello Outside Function
  World Inside Function
... then, you get an error as 'b' is not defined outside the function!
Thus, I believe that the second method is better... safer!",,,1,,2008-08-09 00:29:38.633000+00:00,,2011-11-13 15:16:01.120000+00:00,2011-11-13 15:16:01.120000+00:00,,126039.0,,384.0,6373,2,-4,,
6496,,"It's a ""quirk"" in the way the JVM looks up the zoneinfo file.  See Bug ID 6456628.
The easiest workaround is to make /etc/localtime a symlink to the correct zoneinfo file.  For Pacific time, the following commands should work:
I haven't had any problems with the symlink approach.
Edit: Added ""sudo"" to the commands.",,,3,,2008-08-09 00:46:46.260000+00:00,,2008-08-09 00:46:46.260000+00:00,,,,,737.0,6392,2,29,,
6502,,"It may help to double-check the timezone rules your OS is using.
This file should contain your daylight savings rules, like this one for the year 2080:
You can compare this with the timezone rules you think you should be using. They can be found in /usr/share/zoneinfo/.",,,0,,2008-08-09 01:01:17.587000+00:00,,2008-08-09 01:01:17.587000+00:00,,,,,304.0,6392,2,0,,
6503,,"The result of a DCT is a transformation of the original source into the frequency domain. The top left entry stores the ""amplitude"" the ""base"" frequency and frequency increases both along the horizontal and vertical axes. The outcome of the DCT is usually a collection of amplitudes at the more usual lower frequencies (the top left quadrant) and less entries at the higher frequencies. As lassevk mentioned, it is usual to just zero out these higher frequencies as they typically constitute very minor parts of the source. However, this does result in loss of information. To complete the compression it is usual to use a lossless compression over the DCT'd source. This is where the compression comes in as all those runs of zeros get packed down to almost nothing.
One possible advantage of using the DCT to find similar regions is that you can do a first pass match on low frequency values (top-left corner). This reduces the number of values you need to match against. If you find matches of low frequency values, you can increase into comparing the higher frequencies.
Hope this helps",,,0,,2008-08-09 01:03:18.317000+00:00,,2008-08-09 01:03:18.317000+00:00,,,,,488.0,4582,2,14,,
6508,,"Well, I don't really have an expert opinion on this.
I usually end up using closures based approach just because it keeps the code simpler to manager. But, I have found myself using prototypes for methods that have loads of lines of code.",,,0,,2008-08-09 01:12:26.863000+00:00,,2008-08-09 01:12:26.863000+00:00,,,,,384.0,6499,2,2,,
6509,,"I occasionally get similar things, usually with files that nobody has been near in weeks. Generally, if you know you haven't been working in the directory in question, you can just delete the directory with the problem and run 
to recreate it.
If you have live changes in the directory then as lassevk and you yourself suggested, a more careful approach is required.
Generally speaking I would say it's a good idea not to leave edited files uncommitted, and keep the working copy tidy - don't add a whole bunch of extra files into the working copy that you aren't going to use. Commit regularly, and then if the working copy goes tits up, you can just delete the whole thing and start over without worrying about what you might or might not be losing, and without the pain of trying to figure out what files to save.",,,2,,2008-08-09 01:12:37.393000+00:00,,2008-08-09 01:12:37.393000+00:00,,,,,137.0,6130,2,5,,
6514,,"Sorry, but what could lead for a need to replicated the exact same build in the future?
In my experience, either you keep your product installers safe or start a new build from scratch.
Also IMO the only way to replicated the exact same build in the future is to run your build machine on a Virtual Machine and keep the VM backup around.
I think that most softwares you will need to replicate the exact same build in the future will not be available anymore, so you will need to keep a copy of every software versio you install in this machine.
Could you be more specific about the problem you are trying to solve?",,,0,,2008-08-09 01:28:45.113000+00:00,,2008-08-09 01:28:45.113000+00:00,,,,,727.0,6085,2,0,,
6515,,Use an explicit stack instead.,,,1,,2008-08-09 01:29:33.537000+00:00,,2008-08-09 01:29:33.537000+00:00,,,,,429.0,6512,2,1,,
6516,,"You also have the choice of:
Which is probably just as slow as example two, but it looks more like Java/C# and is a bit more explicit.",,,0,,2008-08-09 01:32:17.120000+00:00,,2008-08-09 01:32:17.120000+00:00,,,,,429.0,6499,2,2,,
