id,body,title,title
6484,"<p><a href=""http://www.google.com/search?q=how%20to%20mock%20sealed%20class"" rel=""noreferrer"">Mocking sealed classes</a> can be quite a pain.  I currently favor an <a href=""http://en.wikipedia.org/wiki/Adapter_pattern"" rel=""noreferrer"">Adapter pattern</a> to handle this, but something about just keeps feels weird.  </p>

<p><strong>So, What is the best way you mock sealed classes?</strong></p>

<p><em>Java answers are more than welcome</em>.  In fact, I would anticipate that the Java community has been dealing with this longer and has a great deal to offer.</p>

<p>But here are some of the .NET opinions:</p>

<ul>
<li><a href=""http://haacked.com/archive/2007/08/19/why-duck-typing-matters-to-c-developers.aspx"" rel=""noreferrer"">Why Duck Typing Matters for C#
Develoepers</a> </li>
<li><a href=""http://cs.rthand.com/blogs/blog_with_righthand/archive/2008/07/22/Creating-wrappers-for-sealed-and-other-types-for-mocking.aspx"" rel=""noreferrer"">Creating wrappers
for sealed and other types for
mocking</a></li>
<li><a href=""http://weblogs.asp.net/cibrax/archive/2008/05/16/unit-tests-for-wcf.aspx"" rel=""noreferrer"">Unit tests for WCF (and Moq)</a></li>
</ul>",How do you mock a Sealed class?,How do you mock a Sealed class?
6499,"<p>There are a few ways to get class-like behavior in javascript, the most common seem to be prototype based like this:</p>

<pre><code>function Vector(x, y, x) {
    this.x = x;
    this.y = y;
    this.z = z;
    return this;
}

Vector.prototype.length = function () { return Math.sqrt(this.x * this.x ... ); }
</code></pre>

<p>and closure based approaches similar to</p>

<pre><code>function Vector(x, y, z) {
    this.length = function() { return Math.sqrt(x * x + ...); }
}
</code></pre>

<p>For various reasons the latter is faster, but I've seen (and I frequently do write) the prototype version and was curious as to what other people do.</p>","What style do you use for creating a ""class""?","What style do you use for creating a ""class""?"
6512,"<p>I'm working on a Scheme interpreter written in C. Currently it uses the C runtime stack as its own stack, which is presenting a minor problem with implementing continuations. My current solution is manual copying of the C stack to the heap then copying it back when needed. Aside from not being standard C, this solution is hardly ideal.</p>

<p>What is the simplest way to implement continuations for Scheme in C?</p>",How to implement continuations?,How to implement continuations?
6530,"<p>I have a ASP.NET application that we've written our own logging module for.</p>

<p>My question is, where is the standard place to write a log file to? I.e. the website will be running as the anonymous user identity (e.g. IUSR on IIS7) and I need a place where I know it'll have permission to write to.</p>

<p>Cheers,</p>",Where should I put my log file for an asp.net application?,Where should I put my log file for an asp.net application?
6547,"<p>One of those classic programming interview questions...</p>

<p>You are given two marbles, and told that they will break when dropped from some certain height (and presumably suffer no damage if dropped from below that height). You’re then taken to a 100 story building (presumably higher than the certain height), and asked to find the highest floor your can drop a marble from without breaking it as efficiently as possible.</p>

<p>Extra info</p>

<ul>
<li>You must find the correct floor (not a possible range)</li>
<li>The marbles are both guaranteed to break at the same floor</li>
<li>Assume it takes zero time for you to change floors - only the number of marble drops counts</li>
<li>Assume the correct floor is randomly distributed in the building</li>
</ul>",Two marbles and a 100 story building,Two marbles and a 100 story building
6557,"<p>It seems that a List object cannot be stored in a List variable in C#, and can't even be explicitly cast that way.</p>

<pre><code>List&lt;string&gt; sl = new List&lt;string&gt;();
List&lt;object&gt; ol;
ol = sl;
</code></pre>

<p>results in Cannot implicitly convert type <code>System.Collections.Generic.List&lt;string&gt;</code> to <code>System.Collections.Generic.List&lt;object&gt;</code></p>

<p>And then...</p>

<pre><code>List&lt;string&gt; sl = new List&lt;string&gt;();
List&lt;object&gt; ol;
ol = (List&lt;object&gt;)sl;
</code></pre>

<p>results in Cannot convert type <code>System.Collections.Generic.List&lt;string&gt;</code> to <code>System.Collections.Generic.List&lt;object&gt;</code></p>

<p>Of course, you can do it by pulling everything out of the string list and putting it back in one at a time, but it is a rather convoluted solution.</p>","In C#, why can't a List object be stored in a List variable","In C#, why can't a List<string> object be stored in a List<object> variable"
6578,"<p>I'm just beginning to have a look at Objective-C and Cocoa with a view to playing with the iPhone SDK. I'm reasonably comfortable with C's <code>malloc</code> and <code>free</code> concept, but Cocoa's references counting scheme has me rather confused. I'm told it's very elegant once you understand it, but I'm just not over the hump yet.</p>

<p>How do <code>release</code>, <code>retain</code> and <code>autorelease</code> work and what are the conventions about their use?</p>

<p>(Or failing that, what did you read which helped you get it?)</p>",Understanding reference counting with Cocoa and Objective-C,Understanding reference counting with Cocoa and Objective-C
6579,"<p>There are numerous <a href=""http://en.wikipedia.org/wiki/Agile_software_development"" rel=""nofollow noreferrer"">Agile software development</a> methods. Which ones have you used in practice to deliver a successful project, and how did the method contribute to that success? </p>",Which Agile software development methods have you had the most success with?,Which Agile software development methods have you had the most success with?
6594,<p>What are some good steps to follow for a smooth migration from PHP4 to PHP5. What are some types of code that are likely to break?</p>,PHP4 to PHP5 Migration,PHP4 to PHP5 Migration
6607,"<p>I'm a new Windows programmer and I'm not sure where I should store user configurable application settings.  I understand the need to provide a user friendly means for the user to change application settings, like an Edit | Settings form or similar.  But where should I store the values after the user hits the Apply button on that form?  </p>

<p>What are the pros and cons of storing settings in the Windows registry vs. storing them in a local INI file or config file or similar?</p>",Registry vs. INI file for storing user configurable application settings,Registry vs. INI file for storing user configurable application settings
6612,"<p>On a recent Java project, we needed a free Java based real-time data plotting utility.  After much searching, we found this tool called the <a href=""http://www.epic.noaa.gov/java/sgt/"" rel=""noreferrer"">Scientific Graphics Toolkit or SGT</a> from NOAA.  It seemed pretty robust, but we found out that it wasn't terribly configurable.  Or at least not configurable enough to meet our needs.  We ended up digging very deeply into the Java code and reverse engineering the code and changing it all around to make the plot tool look and act the way we wanted it to look and act.  Of course, this killed any chance for future upgrades from NOAA.  </p>

<p>So what free or cheap Java based data plotting tools or libraries do you use?</p>

<p><em>Followup:  Thanks for the <a href=""http://www.jfree.org/jfreechart/"" rel=""noreferrer"">JFreeChart</a> suggestions.  I checked out their website and it looks like a very nice data charting and plotting utility.  I should have made it clear in my original question that I was looking specifically to plot real-time data.  I corrected my question above to make that point clear.  It appears that <a href=""http://www.jfree.org/jfreechart/faq.html#FAQ5"" rel=""noreferrer"">JFreeChart support for live data is marginal at best, though</a>.  Any other suggestions out there?</em></p>",Are there any decent free Java data plotting libraries out there?,Are there any decent free Java data plotting libraries out there?
6613,"<p>What are some of the best or most popular rule engines?  I haven't settled on a programming language, so tell me the rule engine and what programming languages it supports.</p>",What rule engine should I use?,What rule engine should I use?
6623,"<p>After changing the output directory of a visual studio project it started to fail to build with an error very much like:   </p>

<pre><code>C:\Program Files\Microsoft Visual Studio 8\SDK\v2.0\bin\sgen.exe /assembly:C:\p4root\Zantaz\trunk\EASDiscovery\EASDiscoveryCaseManagement\obj\Release\EASDiscoveryCaseManagement.dll /proxytypes /reference:C:\p4root\Zantaz\trunk\EASDiscovery\EasDiscovery.Common\target\win_x32\release\results\EASDiscovery.Common.dll /reference:C:\p4root\Zantaz\trunk\EASDiscovery\EasDiscovery.Export\target\win_x32\release\results\EASDiscovery.Export.dll /reference:c:\p4root\Zantaz\trunk\EASDiscovery\ItemCache\target\win_x32\release\results\EasDiscovery.ItemCache.dll /reference:c:\p4root\Zantaz\trunk\EASDiscovery\RetrievalEngine\target\win_x32\release\results\EasDiscovery.RetrievalEngine.dll /reference:C:\p4root\Zantaz\trunk\EASDiscovery\EASDiscoveryJobs\target\win_x32\release\results\EASDiscoveryJobs.dll /reference:""C:\Program Files\Infragistics\NetAdvantage for .NET 2008 Vol. 1 CLR 2.0\Windows Forms\Bin\Infragistics2.Shared.v8.1.dll"" /reference:""C:\Program Files\Infragistics\NetAdvantage for .NET 2008 Vol. 1 CLR 2.0\Windows Forms\Bin\Infragistics2.Win.Misc.v8.1.dll"" /reference:""C:\Program Files\Infragistics\NetAdvantage for .NET 2008 Vol. 1 CLR 2.0\Windows Forms\Bin\Infragistics2.Win.UltraWinChart.v8.1.dll"" /reference:""C:\Program Files\Infragistics\NetAdvantage for .NET 2008 Vol. 1 CLR 2.0\Windows Forms\Bin\Infragistics2.Win.UltraWinDataSource.v8.1.dll"" /reference:""C:\Program Files\Infragistics\NetAdvantage for .NET 2008 Vol. 1 CLR 2.0\Windows Forms\Bin\Infragistics2.Win.UltraWinDock.v8.1.dll"" /reference:""C:\Program Files\Infragistics\NetAdvantage for .NET 2008 Vol. 1 CLR 2.0\Windows Forms\Bin\Infragistics2.Win.UltraWinEditors.v8.1.dll"" /reference:""C:\Program Files\Infragistics\NetAdvantage for .NET 2008 Vol. 1 CLR 2.0\Windows Forms\Bin\Infragistics2.Win.UltraWinGrid.v8.1.dll"" /reference:""C:\Program Files\Infragistics\NetAdvantage for .NET 2008 Vol. 1 CLR 2.0\Windows Forms\Bin\Infragistics2.Win.UltraWinListView.v8.1.dll"" /reference:""C:\Program Files\Infragistics\NetAdvantage for .NET 2008 Vol. 1 CLR 2.0\Windows Forms\Bin\Infragistics2.Win.UltraWinMaskedEdit.v8.1.dll"" /reference:""C:\Program Files\Infragistics\NetAdvantage for .NET 2008 Vol. 1 CLR 2.0\Windows Forms\Bin\Infragistics2.Win.UltraWinStatusBar.v8.1.dll"" /reference:""C:\Program Files\Infragistics\NetAdvantage for .NET 2008 Vol. 1 CLR 2.0\Windows Forms\Bin\Infragistics2.Win.UltraWinTabControl.v8.1.dll"" /reference:""C:\Program Files\Infragistics\NetAdvantage for .NET 2008 Vol. 1 CLR 2.0\Windows Forms\Bin\Infragistics2.Win.UltraWinToolbars.v8.1.dll"" /reference:""C:\Program Files\Infragistics\NetAdvantage for .NET 2008 Vol. 1 CLR 2.0\Windows Forms\Bin\Infragistics2.Win.UltraWinTree.v8.1.dll"" /reference:""C:\Program Files\Infragistics\NetAdvantage for .NET 2008 Vol. 1 CLR 2.0\Windows Forms\Bin\Infragistics2.Win.v8.1.dll"" /reference:""C:\Program Files\Microsoft Visual Studio 8\ReportViewer\Microsoft.ReportViewer.Common.dll"" /reference:""C:\Program Files\Microsoft Visual Studio 8\ReportViewer\Microsoft.ReportViewer.WinForms.dll"" /reference:C:\p4root\Zantaz\trunk\EASDiscovery\PreviewControl\target\win_x32\release\results\PreviewControl.dll /reference:C:\p4root\Zantaz\trunk\EASDiscovery\Quartz\src\Quartz\target\win_x32\release\results\Scheduler.dll /reference:c:\WINDOWS\Microsoft.NET\Framework\v2.0.50727\System.configuration.dll /reference:c:\WINDOWS\Microsoft.NET\Framework\v2.0.50727\System.Data.dll /reference:c:\WINDOWS\Microsoft.NET\Framework\v2.0.50727\System.Design.dll /reference:c:\WINDOWS\Microsoft.NET\Framework\v2.0.50727\System.DirectoryServices.dll /reference:c:\WINDOWS\Microsoft.NET\Framework\v2.0.50727\System.dll /reference:c:\WINDOWS\Microsoft.NET\Framework\v2.0.50727\System.Drawing.dll /reference:c:\WINDOWS\Microsoft.NET\Framework\v2.0.50727\System.Web.dll /reference:c:\WINDOWS\Microsoft.NET\Framework\v2.0.50727\System.Web.Services.dll /reference:c:\WINDOWS\Microsoft.NET\Framework\v2.0.50727\System.Windows.Forms.dll /reference:c:\WINDOWS\Microsoft.NET\Framework\v2.0.50727\System.Xml.dll /compiler:/delaysign- 
    Error: The specified module could not be found. (Exception from HRESULT: 0x8007007E)
    C:\WINDOWS\Microsoft.NET\Framework\v2.0.50727\Microsoft.Common.targets(1902,9): error MSB6006: ""sgen.exe"" exited with code 1.
</code></pre>

<p>I changed the output directory to target/win_x32/release/results but the path in sgen doesn't seem to have been updated.  There seems to be no reference in the project to what path is passed into sgen so I'm unsure how to fix it.  As a workaround I have disabled the serialization generation but it would be nice to fix the underlying problem.  Has anybody else seen this?</p>",sgen.exe fails during build,sgen.exe fails during build
6628,"<p>What is the difference, if any, between these methods of indexing into a PHP array:</p>
<pre><code>$array[$index]
$array[&quot;$index&quot;]
$array[&quot;{$index}&quot;]
</code></pre>
<p>I'm interested in both the performance and functional differences.</p>
<h3>Update:</h3>
<p>(In response to @Jeremy) I'm not sure that's right. I ran this code:</p>
<pre><code>  $array = array(100, 200, 300);
  print_r($array);
  $idx = 0;
  $array[$idx] = 123;
  print_r($array);
  $array[&quot;$idx&quot;] = 456;
  print_r($array);
  $array[&quot;{$idx}&quot;] = 789;
  print_r($array);
</code></pre>
<p>And got this output:</p>
<pre><code>Array
(
    [0] =&gt; 100
    [1] =&gt; 200
    [2] =&gt; 300
)

Array
(
    [0] =&gt; 123
    [1] =&gt; 200
    [2] =&gt; 300
)

Array
(
    [0] =&gt; 456
    [1] =&gt; 200
    [2] =&gt; 300
)

Array
(
    [0] =&gt; 789
    [1] =&gt; 200
    [2] =&gt; 300
)
</code></pre>","PHP array indexing: $array[$index] vs $array[""$index""] vs $array[""{$index}""]","PHP array indexing: $array[$index] vs $array[""$index""] vs $array[""{$index}""]"
6633,"<p>I have inherited some legacy PHP code what was written back when it was standard practice to use <a href=""http://php.net/register_globals"" rel=""nofollow noreferrer""><code>register_globals</code></a> (As of PHP 4.2.0, this directive defaults to off, released 22. Apr 2002).</p>

<p>We know now that it is bad for security to have it enabled. The problem is how do I find all the places in the code where I need to use <code>$_GET</code> or <code>$_POST</code>? My only thought was to set the error reporting to warn about uninitialized variables and then test each part of the site. Is there an easier way? Will I have to test each code path in the site or will PHP give a warning on a file basis?</p>",Making code work with register_globals turned off,Making code work with register_globals turned off
6639,<p>How should I load files into my Java application?</p>,How should I load files into my Java application?,How should I load files into my Java application?
6642,"<p>I was trying to add a favicon to a website earlier and looked for a better way to implement this than to dump a <code>favicon.ico</code> file in the root of the website.</p>

<p>I found this nice little guide: <a href=""http://www.w3.org/2005/10/howto-favicon"" rel=""noreferrer"">How to Add a Favicon</a>. However, the preferred method did not work in IE (7) and the second method is the old fashioned way (which I resigned myself to use).</p>

<p>Is there a third method that works across all the most popular browsers?</p>",Preferred way to use favicons?,Preferred way to use favicons?
6658,"<p>At work we are currently still using JUnit 3 to run our tests. We have been considering switching over to JUnit 4 for <strong>new</strong> tests being written but I have been keeping an eye on TestNG for a while now. What experiences have you all had with either JUnit 4 or TestNG, and which seems to work better for very large numbers of tests? Having flexibility in writing tests is also important to us since our functional tests cover a wide aspect and need to be written in a variety of ways to get results.</p>

<p>Old tests will not be re-written as they do their job just fine. What I would like to see in new tests though is flexibility in the way the test can be written, natural assertions, grouping, and easily distributed test executions.</p>",JUnit vs TestNG,JUnit vs TestNG
6661,"<p>I'm aware of things like <code>onchange</code>, <code>onmousedown</code> and <code>onmouseup</code> but is there a good reference somewhere that lists all of them complete with possibly a list of the elements that they cover?</p>",Reference that lists available JavaScript events?,Reference that lists available JavaScript events?
