score,creation_date,body
0.0,2008-08-09 00:05:04.847000+00:00,"Regarding Kevin's idea of passing the parameter to a function that splits the text into a table, here's my implementation of that function from a few years back. Works a treat.
Splitting Text into Words in SQL"
-4.0,2008-08-09 00:29:38.633000+00:00,"Yes, there are differences between the two.
Both are anonymous functions and execute in the exact same way. But, the difference between the two is that in the second case scope of the variables is restricted to the anonymous function itself. There is no chance of accidentally adding variables to the global scope.
This implies that by using the second method, you are not cluttering up the global variables scope which is good as these global variable values can interfere with some other global variables that you may use in some other library or are being used in a third party library.
Example:
In the above code the output is something like:
  Hello Inside Function
  Hello Outside Function
  World Inside Function
... then, you get an error as 'b' is not defined outside the function!
Thus, I believe that the second method is better... safer!"
29.0,2008-08-09 00:46:46.260000+00:00,"It's a ""quirk"" in the way the JVM looks up the zoneinfo file.  See Bug ID 6456628.
The easiest workaround is to make /etc/localtime a symlink to the correct zoneinfo file.  For Pacific time, the following commands should work:
I haven't had any problems with the symlink approach.
Edit: Added ""sudo"" to the commands."
0.0,2008-08-09 01:01:17.587000+00:00,"It may help to double-check the timezone rules your OS is using.
This file should contain your daylight savings rules, like this one for the year 2080:
You can compare this with the timezone rules you think you should be using. They can be found in /usr/share/zoneinfo/."
14.0,2008-08-09 01:03:18.317000+00:00,"The result of a DCT is a transformation of the original source into the frequency domain. The top left entry stores the ""amplitude"" the ""base"" frequency and frequency increases both along the horizontal and vertical axes. The outcome of the DCT is usually a collection of amplitudes at the more usual lower frequencies (the top left quadrant) and less entries at the higher frequencies. As lassevk mentioned, it is usual to just zero out these higher frequencies as they typically constitute very minor parts of the source. However, this does result in loss of information. To complete the compression it is usual to use a lossless compression over the DCT'd source. This is where the compression comes in as all those runs of zeros get packed down to almost nothing.
One possible advantage of using the DCT to find similar regions is that you can do a first pass match on low frequency values (top-left corner). This reduces the number of values you need to match against. If you find matches of low frequency values, you can increase into comparing the higher frequencies.
Hope this helps"
2.0,2008-08-09 01:12:26.863000+00:00,"Well, I don't really have an expert opinion on this.
I usually end up using closures based approach just because it keeps the code simpler to manager. But, I have found myself using prototypes for methods that have loads of lines of code."
5.0,2008-08-09 01:12:37.393000+00:00,"I occasionally get similar things, usually with files that nobody has been near in weeks. Generally, if you know you haven't been working in the directory in question, you can just delete the directory with the problem and run 
to recreate it.
If you have live changes in the directory then as lassevk and you yourself suggested, a more careful approach is required.
Generally speaking I would say it's a good idea not to leave edited files uncommitted, and keep the working copy tidy - don't add a whole bunch of extra files into the working copy that you aren't going to use. Commit regularly, and then if the working copy goes tits up, you can just delete the whole thing and start over without worrying about what you might or might not be losing, and without the pain of trying to figure out what files to save."
0.0,2008-08-09 01:28:45.113000+00:00,"Sorry, but what could lead for a need to replicated the exact same build in the future?
In my experience, either you keep your product installers safe or start a new build from scratch.
Also IMO the only way to replicated the exact same build in the future is to run your build machine on a Virtual Machine and keep the VM backup around.
I think that most softwares you will need to replicate the exact same build in the future will not be available anymore, so you will need to keep a copy of every software versio you install in this machine.
Could you be more specific about the problem you are trying to solve?"
1.0,2008-08-09 01:29:33.537000+00:00,Use an explicit stack instead.
2.0,2008-08-09 01:32:17.120000+00:00,"You also have the choice of:
Which is probably just as slow as example two, but it looks more like Java/C# and is a bit more explicit."
4.0,2008-08-09 01:37:07.920000+00:00,"I'd just let him write tons of code. Let him drive in everything you guys do, and just be available to answer questions.
Believe it or not, after a few months of writings tons of crappy code, he'll start to get the idea and start writing better programs. At that point, you can get bogged down in details (memory, etc), and also talk about general design principles.
I've heard that what separates the great artists from the mediocre ones, is that every time they practice, they improve on something, no matter how small. Let your brother practice, and he'll improve every time he sits down at the keyboard.
  Edit: [Justin Standard]
  
  Esteban, this reminds me of a recent coding horror post, and I do think you are right.  But I think its still worthwhile to find methods to guide his practice.  No question, I want him writing as much code as he knows how to do.  Thats one reason I'm asking for sample projects."
10.0,2008-08-09 02:05:33.840000+00:00,"Assigning functions to the prototype is better (for public methods) because all instances of the class will share the same copy of the method. If you assign the function inside the constructor as in the second example, every time you create a new instance, the constructor creates a new copy of the length function and assigns it to just that one instance.
However this latter technique is useful if you want each copy to have it's own copy, the main use of that being to do private/privileges methods which have access to private variables declared inside the constructor and inherited via the closure mechanism.
Douglas Crockford has a good summary."
3.0,2008-08-09 02:09:04.673000+00:00,"Fortunately I get to use prototype.js, which provides some nice wrappers. So you can do this:
 Documentation: Defining classes and inheritance"
7.0,2008-08-09 02:10:12.800000+00:00,App_Data folder on the root of the project. It isn't served to web requests; so other people can't snoop for it.
0.0,2008-08-09 02:17:38.293000+00:00,"  Is there anything about WinForms 3.0 that is so much better than in 1.1
I don't know about 3.0, but you can write code in VS 2008 which runs on the .NET 2.0 framework. (So, you get to use the latest C# language, but you can only use the 2.0 libraries)
This gets you Generics ( instead of those GodAwful ArrayLists) and a ton of other stuff, you'll literally end up writing 3x less code."
3.0,2008-08-09 02:20:29.597000+00:00,"They both create a closure by executing the code block. As a matter of style I much prefer the second for a couple of reasons:
It's not immediately obvious by glancing at the first that the code will actually be executed; the line looks like it is creating a new function, rather than executing it as a constructor, but that's not what's actually happening. Avoid code that doesn't do what it looks like it's doing!
Also the  ...  make nice bookend tokens so that you can immediately see that you're entering and leaving a closure scope. This is good because it alerts the programmer reading it to the scope change, and is especially useful if you're doing some postprocessing of the file, eg for minification."
0.0,2008-08-09 02:21:32.853000+00:00,"Is there a way to implement a sealed class from an interface... and mock the interface instead?
Something in me feels that having sealed classes is wrong in the first place, but that's just me :)"
1.0,2008-08-09 02:23:54.160000+00:00,"I was taught by learning how to solve problems in a language agnostic way using flowcharts and PDL (Program Design Language).  After a couple weeks of that, I learned to convert the PDL I had written to a language.  I am glad I learned that way because I have spent the majority of my years programming, solving problems without being tied to a language.  What language I use has always been an implementation detail and not part of the design. 
Having to solve the problem by breaking it down into it's basic steps is a key skill.  I think it is one of the things that separates those that can program from those that can't.
As far as how you tackle the order of concepts of a language I believe the easiest way is to decide that is to have a project in mind and tackle the concepts as they are needed.  This lets you apply them as they are needed on something that you are interested in doing.  When learning a language it is good to have several simple projects in mind and a few with progressive complexity.  Deciding on those will help you map out the concepts that are needed and their order."
2.0,2008-08-09 02:29:48.110000+00:00,"They each break when dropped from the same height, or are they different?
If they're the same, I go to the 50th floor and drop the first marble.  If it doesn't break, I go to the 75th floor and do the same, as long as it keeps not breaking I keep going up by 50% of what's left.  When it does break, I go back to one higher than where I was previously (so if it broke at the 75th floor I go back to the 51st floor) and drop the second marble and move up a floor at a time until it breaks, at which point I know the highest floor I can drop from with no marble breakage.
Probably not the best answer, I'm curious to see how others answer."
5.0,2008-08-09 02:31:13.537000+00:00,"Ruby unfortunately is a bit different. 
PS: My memory is a bit hazy on this so apologies if I'm wrong
instead of break/continue, it has break/next, which behave the same in terms of loops
Loops (like everything else) are expressions, and ""return"" the last thing that they did. Most of the time, getting the return value from a loop is pointless, so everyone just does this
You can however do this
HOWEVER, a lot of ruby code 'emulates' a loop by using a block.
The canonical example is
As it is much more common for people to want to do things with the result of a block, this is where it gets messy.
break/next mean different things in the context of a block.
break will jump out of the code that called the block
next will skip the rest of the code in the block, and 'return' what you specify to the caller of the block. This doesn't make any sense without examples.
So yeah. Ruby is awesome, but it has some awful corner-cases. This is the second worst one I've seen in my years of using it :-)"
1.0,2008-08-09 02:37:41.760000+00:00,"I'm personally not very big a fan of such puzzle questions, I prefer actual programming exercises in interviews.
That said, first it would depend on if I can tell if they are broken or not from the floor I am dropping them at.  I will presume I can.
I would go up to the second floor, drop the first marble.  If it broke I would try the first floor.  If that broke I would know it was no floor.
If the first didn't break, I would go to the 4th floor and drop from there.  If that broke, I would go back down and get the other marble, then drop at the 3rd floor, breaking or not I would know which is the limit.
If neither broke, I would go get both, and do the same process, this time starting at the 6th floor.
This way, I can skip every other floor until I get a marble that breaks.
This would be optimized for if the marble breaks early... I suppose there is probably an optimal amount of floors I could skip to get the most for each skip... but then if one breaks, I would have to check each floor individually from the first floor above the last known floor... which of course would be a pain if I skipped too many floors (sorry, not going to figure out the optimal solution right now).
Ideally, I would want a whole bag of marbles, then I could use a binary search algorithm and divide the number of floors in half with each drop... but then, that wasn't the question, was it?"
11.0,2008-08-09 02:38:02.883000+00:00,"The reason is that a generic class like  is, for most purposes, treated externally as a normal class. e.g. when you say  the compiler says  (which contains strings). [Technical folk: this is an extremely plain-English-ified version of what's going on]
Consequently, obviously the compiler can't be smart enough to convert a ListString to a ListObject by casting the items of its internal collection.
That's why there's extension methods for IEnumerable like Convert() that allow you to easily supply conversion for the items stored inside a collection, which could be as simple as casting from one to another."
2.0,2008-08-09 02:40:56.653000+00:00,"I think the real question is how accurate do you want the answer.  Because your efficiency is going to really depend on that.
I'm going to agree with Justin if you want 100% accuracy on the marbles then once the first marble breaks your going to have to go up 1 floor at a time from the last known ""good"" floor until you find out which floor is the ""winner.""  Maybe even throw in some statistics and start at the 25th floor instead of the 50th floor so that you're worst case scenario would be 24 instead of 49.
If you're answer can be plus or minus a floor or two then there could be some optimizations.
Secondly, does walking up/down the stairs count against your efficiency?  In that case always drop both marbles and pick up both marbles on every up/down trip."
52.0,2008-08-09 02:45:43.070000+00:00,"The interesting thing here is how you can do it in the least amount of drops possible. Going to the 50th floor and dropping the first would be disastrous if the breaking floor is the 49th, resulting in us having to do 50 drops. We should drop the first marble at floor n, where n is the max amount of drops required. If the marble breaks at floor n, we may have to make n-1 drops after that. If the marble doesn't break we go up to floor 2n-1 and if it breaks here we have to drop the second marble n-2 times in the worst case. We continue like this up to the 100th floor and try to break it at 3n-2, 4n-3....
and n+(n-1)+(n-2)+...1 &lt;=100
n=14 Is the maximum drops required"
18.0,2008-08-09 02:49:25.903000+00:00,"I remember reading an article that may be of help to you: Cheney on the M.T.A. :-)
Some implementations of Scheme I know of, such as SISC, allocate their call frames on the heap.
@ollie: You don't need to do the hoisting if all your call frames are on the heap. There's a tradeoff in performance, of course: the time to hoist, versus the overhead required to allocate all frames on the heap. Maybe it should be a tunable runtime parameter in the interpreter. :-P"
39.0,2008-08-09 02:50:14.903000+00:00,"Think of it this way, if you were to do such a cast, and then add an object of type Foo to the list, the list of strings is no longer consistent.  If you were to iterate the first reference, you would get a class cast exception because once you hit the Foo instance, the Foo could not be converted to string!
As a side note, I think it would be more significant whether or not you can do the reverse cast:
I haven't used C# in a while, so I don't know if that is legal, but that sort of cast is actually (potentially) useful.  In this case, you are going from a more general class (object) to a more specific class (string) that extends from the general one.  In this way, if you add to the list of strings, you are not violating the list of objects.
Does anybody know or can test if such a cast is legal in C#?"
5.0,2008-08-09 02:51:15.417000+00:00,My Apache had something like this in httpd.conf. Just change the ErrorLog and CustomLog settings 
3.0,2008-08-09 02:53:18.237000+00:00,"Mike - I believe contravariance isn't allowed in C# either
See Generic type parameter variance in the CLR for some more info."
1.0,2008-08-09 02:55:01.947000+00:00,"Patrick is correct, the only way you can really do this is to use an explicit stack in your interpreter, and hoist the appropriate segment of stack into the heap when you need to convert to a continuation.
This is basically the same as what is needed to support closures in languages that support them (closures and continuations being somewhat related)."
6.0,2008-08-09 02:58:26.463000+00:00,"This has a lot to do with covariance, e.g., generic types are considered as parameters, and if the parameters do not resolve properly to a more specific type then the operation fails. The implication of such is that you really cannot cast to a more general type like object. And as stated by Rex, the List object won't convert each object for you.
You might want to try the ff code instead:
or:
ol will (theoretically) copy all the contents of sl without problems."
7.0,2008-08-09 03:00:11.030000+00:00,"FLOSS Weekly
Pragmatic Podcasts
Rails Envy
Webdev Radio"
36.0,2008-08-09 03:07:44.337000+00:00,"If you're using .NET 3.5 have a look at the Enumerable.Cast method. It's an extension method so you can call it directly on the List.
It's not exactly what you asked for but should do the trick.
Edit: As noted by Zooba, you can then call ol.ToList() to get a List"
6.0,2008-08-09 03:21:59.923000+00:00,Scrum because it shows where the slackers are. It also identifies much faster that the business unit usually doesn't have a clue what they really want delivered
7.0,2008-08-09 03:22:14.510000+00:00,"Git also makes branching and merging really easy. Subversion 1.5 just added merge tracking, but Git is still better. With Git branching is very fast and cheap. It makes creating a branch for each new feature more feasible. Oh and Git repositories are very efficient with storage space as compared to Subversion."
