,phrase
0,"['few', 'days']"
1,"['first', 'questions']"
2,"['canon', 'm100']"
3,"['live', 'view']"
4,"['movie', '|']"
5,"['|', 'ffmpeg']"
6,"['-vcodec', 'mjpeg']"
7,"['yuv420p', '-threads']"
8,"['video0', '|']"
9,"['|', 'cvlc']"
10,"['cvlc', 'v4l2:///dev']"
11,"['2nd', 'pipe']"
12,"['pipe', 'works']"
13,"['mjpeg', 'fine']"
14,"['pipe', '|']"
15,"['correct', 'approach']"
16,"['enough', 'time']"
17,"['windows', 'machine']"
18,"['right', 'direction']"
19,"['right', 'track']"
20,"['vs', 'code']"
21,"['code', 'extension']"
22,"['hello', 'world']"
23,"['world', 'example']"
24,"['developer', 'tools']"
25,"['debug', 'console']"
26,"['vs', 'code']"
27,"['code', 'documentation']"
28,"['other', 'answers']"
29,"['stack', 'overflow']"
30,"['debug', 'console']"
31,"['js', 'conflict']"
32,"['custom', 'jquery']"
33,"['jquery', 'script']"
34,"['stripe', 'payment']"
35,"['payment', 'gateway']"
36,"['woocommerce', 'site']"
37,"['debit', 'card']"
38,"['card', 'fields']"
39,"['iot', 'edge']"
40,"['edge', 'devices']"
41,"['issuer', 'certificate&quot']"
42,"['lower', 'layer']"
43,"['layer', 'device']"
44,"['similar', 'certificate']"
45,"['certificate', 'pattern']"
46,"['upper', 'layer']"
47,"['layer', 'device']"
48,"['similar', 'errors']"
49,"['certificate', 'section']"
50,"['lower', 'devices']"
51,"['inbound', 'network']"
52,"['network', 'rules']"
53,"['upper', 'device']"
54,"['azure', 'iot']"
55,"['iot', 'edge']"
56,"['edge', 'check']"
57,"['lower', 'device']"
58,"['ip', 'address']"
59,"['device', 'certs']"
60,"['device', 'name']"
61,"['device', 'certificate']"
62,"['upper', 'device']"
63,"['root', 'directory']"
64,"['full', 'permissions']"
65,"['good', 'idea']"
66,"['whole', 'tutorial']"
67,"['fresh', 'vms']"
68,"['same', 'issue']"
69,"['import', 'pygame']"
70,"['import', 'time']"
71,"['tkinter', 'import']"
72,"['tkinter', 'import']"
73,"['import', 'messagebox']"
74,"['import', 'tkinter']"
75,"['tkinter', 'import']"
76,"['import', 'ttk']"
77,"['class', 'go(frame']"
78,"['def', 'init(self']"
79,"['class', 'titledeeds']"
80,"['def', 'init(self']"
81,"['self.rent4', '=']"
82,"['community', 'chest']"
83,"['chest', 'cards']"
84,"['tkinter', 'button']"
85,"['roll', 'dice']"
86,"['dice', 'button']"
87,"['displays', 'time']"
88,"['main', 'tkinter']"
89,"['tkinter', 'screen']"
90,"['private', 'routes']"
91,"['private', 'routes']"
92,"['private', 'routes']"
93,"['private', 'routes']"
94,"['same', 'navbar']"
95,"['private', 'routes']"
96,"['same', 'navbar']"
97,"['navbar', 'component']"
98,"['own', 'code']"
99,"['login', 'screen']"
100,"['back', 'button']"
101,"['nextjs', 'project']"
102,"['login', 'page']"
103,"['user', 'information']"
104,"['other', 'components']"
105,"['private', 'files']"
106,"['private', 'route']"
107,"['authentication', 'templates']"
108,"['next', 'documentation']"
109,"['loss', 'function']"
110,"['spring', 'boot']"
111,"['oracle', 'database']"
112,"['db', 'user']"
113,"['user', 'account']"
114,"['account', 'changes']"
115,"['mern', 'application']"
116,"['image', 'path']"
117,"['path', 'store']"
118,"['image', 'path']"
119,"['text', 'data']"
120,"['main', 'file']"
121,"['file', 'structure']"
122,"['file', 'structure']"
123,"['uploads', 'folder']"
124,"['higher', 'precedence']"
125,"['bootstrap', 'file']"
126,"['css', 'rules']"
127,"['only', 'way']"
128,"['data', 'structure']"
129,"['unlimited', 'levels']"
130,"['data', 'structure']"
131,"['data', 'structure']"
132,"['entire', 'data']"
133,"['data', 'structure']"
134,"['arbitrary', 'location']"
135,"['only', 'way']"
136,"['entire', 'data']"
137,"['data', 'structure']"
138,"['large', 'objects']"
139,"['quot;haskell', 'way&quot']"
140,"['data', 'type']"
141,"['random', 'color']"
142,"['uniform', 'r']"
143,"['b', 'values']"
144,"['obvious', 'reasons']"
145,"['actual', 'code']"
146,"['quot;utopia', 'planitia']"
147,"['planitia', 'shipyards&quot']"
148,"['quot;exploration', 'cruiser&quot']"
149,"['quot;12x', 'type']"
150,"['type', 'x']"
151,"['x', 'phaser']"
152,"['phaser', 'arrays&quot']"
153,"['quot;2', 'type']"
154,"['type', '3']"
155,"['3', 'photon']"
156,"['photon', 'torpedo']"
157,"['torpedo', 'tubes&quot']"
158,"['quot;641', 'meters&quot']"
159,"['quot;470', 'meters&quot']"
160,"['quot;145', 'meters&quot']"
161,"['quot;captain', 'jean']"
162,"['luc', 'picard&quot']"
163,"['quot;commander', 'william']"
164,"['william', 't']"
165,"['t', 'riker&quot']"
166,"['quot;lieutenant', 'commander']"
167,"['commander', 'worf&quot']"
168,"['quot;lieutenant', 'tasha']"
169,"['tasha', 'yar&quot']"
170,"['beverly', 'crusher&quot']"
171,"['quot;commander', 'katherine']"
172,"['katherine', 'polaski&quot']"
173,"['quot;lieutenant', 'commander']"
174,"['commander', 'geordi']"
175,"['geordi', 'laforge&quot']"
176,"['class', 'runabout&quot']"
177,"['nations', 'space']"
178,"['space', 'command&quot']"
179,"['mclees', 'shipyards&quot']"
180,"['class', 'light']"
181,"['light', 'cruiser&quot']"
182,"['missile', 'pods&quot']"
183,"['defense', 'guns&quot']"
184,"['quot;3', 'havok']"
185,"['havok', 'tactical']"
186,"['tactical', 'nukes&quot']"
187,"['class', 'nuclear']"
188,"['nuclear', 'missile&quot']"
189,"['quot;800', 'marines&quot']"
