,word 1,word 2,frequency
0,windows,media,3
1,c,#,3
2,select,list,2
3,bad,idea,2
4,return,value,2
5,unit,test,2
6,controller,action,2
7,navigation,div,2
8,content,div,2
9,random,string,2
10,target,url,2
11,color,code,1
12,background,color,1
13,individual,options,1
14,individual,colors,1
15,media,sdk,1
16,wmv,files,1
17,media,player,1
18,.m4a,files,1
19,media,api,1
20,.m4a,file,1
21,good,c,1
22,#,code,1
23,meta,data,1
24,data,tags,1
25,m4a,files,1
26,#,front,1
27,best,approach,1
28,command,line,1
29,line,tool,1
30,google,code,1
31,c++,struct,1
32,offset,array,1
33,more,information,1
34,data,file,1
35,libsvm,data,1
36,data,format,1
37,unlabelled,data,1
38,other,answers,1
39,good,job,1
40,simple,problem,1
41,wrong,direction,1
42,side,effects,1
43,state,data,1
44,first,argument,1
45,good,habit,1
46,global,variables,1
47,calling,scope,1
48,value,solution,1
49,reference,idea,1
50,better,solution,1
51,other,functions,1
52,better,practice,1
53,class,methods,1
54,reference,method,1
55,unexpected,side,1
56,side,effect,1
57,great,thing,1
58,context,variable,1
59,inclusion,tag,1
60,cmd,prompt,1
61,gem,update,1
62,gem,install,1
63,install,watir,1
64,ruby,script,1
65,multiple,times,1
66,msvcrt-ruby18.dll,file,1
67,ruby,file,1
68,mocking,unit,1
69,simple,controller,1
70,viewmodel,class,1
71,outgoing,emails,1
72,open,source,1
73,source,email,1
74,email,clients,1
75,application,layout,1
76,rails,noob,1
77,_,header.html.erb,1
78,nhibernate,write,1
79,fluent,automappings,1
80,orginal,grain,1
81,simple,mapping,1
82,mapping,classes,1
83,better,chance,1
84,advice,glady,1
85,glady,welcome,1
86,individual,audio,1
87,audio,loops,1
88,standalone,basis,1
89,audio,samples,1
90,sound,effects,1
91,music,beds,1
92,commercial,music,1
93,share,date,1
94,abuse,prevention,1
95,url,filtering,1
96,spam,prevention,1
97,url,verification,1
98,argument,representation,1
99,search,params,1
100,unrolled,arguments,1
101,url,shortners,1
102,new,url,1
103,database,lookup,1
104,algorithmic,association,1
105,shortened,url,1
106,destination,url,1
107,url,shortener,1
108,programming,language,1
109,data,store,1
110,code,generation,1
111,primary,integer,1
112,integer,key,1
