,word 1,word 2,frequency,2008-07-31 00:00:00 - 2012-10-09 16:00:00,2012-10-09 16:00:00 - 2016-12-19 08:00:00,2016-12-19 08:00:00 - 2021-02-28 00:00:00
0,error,message,41,17,6,18
1,sql,server,37,20,8,9
2,visual,studio,35,20,10,5
3,best,way,34,8,12,14
4,possible,duplicate,32,32,0,0
5,source,code,28,10,10,8
6,ip,address,26,13,12,1
7,web,application,26,15,3,8
8,better,way,25,8,10,7
9,same,thing,25,6,4,15
10,android,studio,22,0,6,16
11,first,time,21,11,7,3
12,image,description,21,0,5,16
13,text,file,20,9,4,7
14,web,page,20,5,8,7
15,html,code,19,7,9,3
16,csv,file,19,0,6,13
17,web,service,18,8,9,1
18,command,line,18,8,4,6
19,same,time,18,5,7,6
20,background,color,17,0,14,3
21,same,error,17,2,4,11
22,xml,file,16,11,3,2
23,file,upload,15,0,13,2
24,code,snippet,15,7,5,3
25,next,page,15,6,6,3
26,other,way,15,11,0,4
27,only,way,15,7,4,4
28,front,end,15,5,5,5
29,other,words,15,5,3,7
30,same,code,15,4,3,8
31,view,controller,14,8,4,2
32,data,frame,14,0,5,9
33,submit,button,13,7,3,3
34,many,thanks,13,7,3,3
35,syntax,error,13,5,5,3
36,same,problem,13,4,5,4
37,excel,file,13,2,6,5
38,json,file,13,2,5,6
39,post,request,13,0,1,12
40,pm,web.1,12,0,12,0
41,web.1,|,12,0,12,0
42,server,side,12,5,6,1
43,table,view,12,3,8,1
44,page,load,12,7,3,2
45,only,thing,12,5,5,2
46,google,maps,12,4,5,3
47,google,drive,12,3,5,4
48,use,case,12,2,4,6
49,html,file,12,2,4,6
50,spring,boot,12,0,6,6
51,landscape,mode,11,11,0,0
52,user,message,11,11,0,0
53,text,box,11,8,3,0
54,sample,code,11,2,8,1
55,sql,query,11,5,4,2
56,above,code,11,3,6,2
57,mysql,database,11,3,4,4
58,test,case,11,2,5,4
59,right,direction,11,2,3,6
60,stack,trace,11,0,5,6
61,bad,english,11,2,2,7
62,data,structure,11,2,0,9
63,excel,sheet,10,8,1,1
64,below,code,10,4,4,2
65,client,side,10,3,5,2
66,last,line,10,4,3,3
67,input,field,10,4,2,4
68,example,code,10,3,3,4
69,log,file,10,2,4,4
70,http,request,10,2,1,7
71,simple,example,10,1,2,7
72,efficient,way,10,1,2,7
73,base,class,9,8,1,0
74,font,size,9,8,1,0
75,event,handler,9,7,2,0
76,english,alphabet,9,0,9,0
77,radio,buttons,9,7,1,1
78,json,object,9,5,3,1
79,click,event,9,6,1,2
80,json,data,9,3,4,2
81,other,options,9,3,3,3
82,data,type,9,3,2,4
83,user,input,9,2,2,5
84,current,code,9,2,2,5
85,first,column,9,0,3,6
86,load,balancer,9,1,1,7
87,text,field,8,6,2,0
88,json,response,8,4,4,0
89,list,view,8,4,4,0
90,regular,expression,8,3,5,0
91,android,application,8,6,1,1
92,mysql,table,8,5,2,1
93,fatal,error,8,4,3,1
94,list,items,8,4,3,1
95,good,way,8,4,3,1
96,web,site,8,5,1,2
97,correct,way,8,4,2,2
98,unique,values,8,4,2,2
99,new,file,8,2,4,2
100,php,file,8,2,4,2
101,third,column,8,1,5,2
102,entity,framework,8,3,2,3
103,same,result,8,3,2,3
104,new,line,8,2,3,3
105,js,file,8,2,3,3
106,latest,version,8,2,3,3
107,powershell,script,8,0,5,3
108,easy,way,8,4,0,4
109,public,ip,8,4,0,4
110,header,file,8,4,0,4
111,stack,overflow,8,3,1,4
112,login,page,8,2,2,4
113,config,file,8,0,3,5
114,progress,bar,8,0,3,5
115,error,messages,8,2,0,6
116,random,number,8,1,1,6
117,example,data,8,0,2,6
118,total,number,8,1,0,7
119,time,zone,8,0,1,7
120,portrait,mode,7,7,0,0
121,java,se,7,7,0,0
122,virtual,host,7,6,1,0
123,app,engine,7,5,2,0
124,mvc,application,7,4,3,0
125,primary,key,7,2,5,0
126,value,pair,7,2,5,0
127,javascript,function,7,6,0,1
128,second,time,7,5,1,1
129,xml,files,7,5,1,1
130,simple,way,7,5,1,1
131,first,place,7,4,2,1
132,java,class,7,3,3,1
133,home,page,7,3,3,1
134,android,app,7,1,5,1
135,connection,string,7,0,6,1
136,memory,error,7,0,6,1
137,new,record,7,5,0,2
138,key,value,7,5,0,2
139,new,project,7,5,0,2
140,better,solution,7,4,1,2
141,last,element,7,4,1,2
142,same,line,7,4,1,2
143,same,number,7,4,1,2
144,top,level,7,3,2,2
145,many,times,7,3,2,2
146,right,way,7,3,2,2
147,web,app,7,2,3,2
148,android,project,7,2,3,2
149,input,file,7,1,4,2
150,foreign,key,7,1,4,2
151,python,script,7,3,1,3
152,file,name,7,3,1,3
153,special,characters,7,3,1,3
154,good,idea,7,2,2,3
155,first,line,7,2,2,3
156,same,page,7,2,2,3
157,video,player,7,1,3,3
158,last,value,7,0,4,3
159,full,code,7,2,1,4
160,navigation,bar,7,2,1,4
161,chrome,extension,7,1,2,4
162,raspberry,pi,7,1,2,4
163,multiple,times,7,1,2,4
164,long,time,7,0,3,4
165,same,issue,7,2,0,5
166,c:\program,files,7,2,0,5
167,rest,api,7,0,2,5
168,api,call,7,0,2,5
169,php,session,7,0,1,6
170,zip,code,7,0,0,7
171,app,service,7,0,0,7
172,app,b,7,0,0,7
173,webbrowser,control,6,6,0,0
174,page,inspector,6,6,0,0
175,split,view,6,6,0,0
176,fusion,table,6,6,0,0
177,new,event,6,6,0,0
178,animation,list,6,6,0,0
179,asp.net,mvc,6,5,1,0
180,user,object,6,5,1,0
181,phone,number,6,4,2,0
182,button,click,6,3,3,0
183,html,page,6,3,3,0
184,server,error,6,3,3,0
185,proper,way,6,2,4,0
186,list,item,6,2,4,0
187,word,document,6,1,5,0
