,id,creation_date,text,score
0,41440542,2014-10-15 23:59:59.697000+00:00,what i mean by HERE i mean make it public,0
1,41440541,2014-10-15 23:59:59.313000+00:00,"@charlietfl I have added more information, please let me know if it's still not clear.",0
2,41440540,2014-10-15 23:59:58.727000+00:00,"Currently , this code doesn't highlight anything maybe I'm doing something wrong? ,of course more than a once highlighting would be preferred.",0
3,41440539,2014-10-15 23:59:56.447000+00:00,"Another data point: according to the consume memory order proposal at http://www.open-std.org/jtc1/sc22/wg14/www/docs/n1444.htm, some embedded MIPS CPUs can also avoid barriers by using dependencies (older, ""true"" MIPS are supposedly seq-cst). Also, given that `smp_read_barrier_depends()` in the Linux kernel is only a barrier for Alpha, it seems that if there is a (possibly fake) address dependency on the reading side, the read barrier can be avoided (save for Alpha). Making the compiler preserve the dependency is a whole another issue.",0
4,41440536,2014-10-15 23:59:48.707000+00:00,"This is still unclear. Which string is which? `@""pork""` will be found in `@""pork*""`, but [not the other way around](https://gist.github.com/woolsweater/dc3e19bd45ad5fde509f). Please put up a [_fully runnable_ example that demonstrates the problem you have](http://stackoverflow.com/help/mcve).",0
5,41440534,2014-10-15 23:59:37.920000+00:00,"So, do  you want there to be a horisontal scrollbar for the table?",0
6,41440532,2014-10-15 23:59:32.490000+00:00,"The problem with things like `CInt` and `CStr` is that they can be used to either cast or convert.  There's noting in the Framework itself that does both.  In some cases, the correct replacement would be to use an explicit cast while in others it would be appropriate to use the `Convert` class or the like.  There is no one replacement that will work in all cases.",0
7,41440531,2014-10-15 23:59:29.833000+00:00,"I am also having same problem, and am stumped so far.",0
8,41440530,2014-10-15 23:59:26.633000+00:00,what you are showing is syntactically incorrect so it is very hard to help without seeing some real code,0
9,41440529,2014-10-15 23:59:23.523000+00:00,"Try closing the port after the first byte, then reopen it again and adjust the settings before sending the rest.",0
10,41440527,2014-10-15 23:59:22.393000+00:00,"Generics isn't the problem its creating the new object. I can get the type, get its properties but then how do I create the anonymous type dynamically without using ExpandoObject?",0
11,41440525,2014-10-15 23:59:02.093000+00:00,"ok, doesn't matter I solved it with chatr: for (r in 1:nrow(df)) {df[r,3]<-chartr(""áéíóú"", ""aeiou"",df[r,2])}",0
12,41440524,2014-10-15 23:58:48.937000+00:00,"What @aarosil said. However I would just store a small token about the sort-order on the client itself, with [webstorage](http://en.wikipedia.org/wiki/Web_storage) if possible. Retrieve it and restore the sort order from within Angular.",0
13,41440523,2014-10-15 23:58:48.173000+00:00,"I'll give it a shot - I don't think I can assign a char value directly like that, but there should be an easy conversion.",0
14,41440522,2014-10-15 23:58:44.247000+00:00,I like my view models having a 1:1 relationship with the views/controls. That prevents side effects you're experiencing now (since using entities doesn't work in your case) and generally makes data representation easier because you're flattening the data structures. It also allows you to loosly couple your data access layer and your UI.,0
15,41440521,2014-10-15 23:58:35.637000+00:00,"Again, the bigger problem is that it is highly likely that your key control and mouse control classes should **not** subclass from the main class. Again this looks to be a gross mis-use of inheritance.",1
16,41440520,2014-10-15 23:58:31.850000+00:00,Follow-up on the IE oddity: It works fine when loaded as a normal web page. Must just be a JSFiddle quirk.,0
17,41440518,2014-10-15 23:58:27.977000+00:00,"@Alohci how do I get the form.elements array in a constant time having an input named ""elements"" ?",0
18,41440517,2014-10-15 23:58:20.283000+00:00,@user3487121: just remove that line. It does not produce any observable effects.,2
19,41440516,2014-10-15 23:58:14.967000+00:00,Does the [`div.clearfix.visible-sm-block`](http://getbootstrap.com/css/#grid-responsive-resets) approach not work?,0
20,41440514,2014-10-15 23:58:11.993000+00:00,"Edited, try the above.",0
21,41440513,2014-10-15 23:58:10.783000+00:00,`free()` did deallocate the allocated memory. Your attempt to access that memory after it was deallocated has undefined behavior. Just don't do that.,0
22,41440512,2014-10-15 23:58:02.953000+00:00,`struct trie *mainTrie = malloc(size * sizeof *mainTrie );`,1
23,41440511,2014-10-15 23:57:56.780000+00:00,"ok, whats the best way to work around it without making the world hot? @Darren",0
24,41440509,2014-10-15 23:57:42.557000+00:00,"My apologies. The error is ""State cannot be resolved to a variable"". So I would assume you are right, but I know next to nothing about this stuff. I thought that State would be inherited by the Keying class because I declared it in the main class? It works for MouseInput.",0
25,41440507,2014-10-15 23:57:42.147000+00:00,Whats the logic for populating the second one? Is it based on the selected value of the first one. Google [MVC cascading select](https://www.google.com.au/search?q=mvc+cascading+select&oq=mvc+cascading+select&aqs=chrome.0.69i59j0.7918j0j7&sourceid=chrome&espv=2&es_sm=122&ie=UTF-8). There are plenty of examples of how to do this,0
26,41440503,2014-10-15 23:57:20.930000+00:00,Swift treats integer literals differently from integer instances. Literals can be converted seamlessly to essentially any numeric type.,1
27,41440502,2014-10-15 23:57:15.727000+00:00,"TM1 as in Cognos TM1? I've added that as a tag. If the database field is indexed, you must ensure you don't wrap any functions around the database column as it stops an index being used. I guess the querying is occurring in Turbo Integrator so you are constrained by that tool?",0
28,41440499,2014-10-15 23:56:59.233000+00:00,"See this post here:
http://stackoverflow.com/questions/22839836/cannot-connect-to-postgresql-db-in-play-framework/25474256#25474256",0
29,41440498,2014-10-15 23:56:58.240000+00:00,"The idea can be extended to an infinite number of arbitrary labels, not just ""A"", ""B"", and ""C"".  Think in terms of a `Map<String, List<String>>`",0
30,41440494,2014-10-15 23:56:45.173000+00:00,@mgilson Wow. You are exactly right. My world just got turned upside down. I have been typing unnecessary characters in 2.7 for FAR TOO LONG to not be ashamed of it.,1
31,41440492,2014-10-15 23:56:42.760000+00:00,The OP wants the URL to be `site.com/search?q=blabla`.,1
32,41440491,2014-10-15 23:56:39.443000+00:00,"+1 to zerk, [*and this is why*](https://i.chzbgr.com/maxW500/7461525248/hFA8479D2/). @Fred-ii- thoughts?",1
