,id,body,title,title
0,11227809,"<p>Here is a piece of C++ code that shows some very peculiar behavior. For some strange reason, sorting the data miraculously makes the code almost six times faster:</p>
<pre class=""lang-cpp prettyprint-override""><code>#include &lt;algorithm&gt;
#include &lt;ctime&gt;
#include &lt;iostream&gt;

int main()
{
    // Generate data
    const unsigned arraySize = 32768;
    int data[arraySize];

    for (unsigned c = 0; c &lt; arraySize; ++c)
        data[c] = std::rand() % 256;

    // !!! With this, the next loop runs faster.
    std::sort(data, data + arraySize);

    // Test
    clock_t start = clock();
    long long sum = 0;

    for (unsigned i = 0; i &lt; 100000; ++i)
    {
        // Primary loop
        for (unsigned c = 0; c &lt; arraySize; ++c)
        {
            if (data[c] &gt;= 128)
                sum += data[c];
        }
    }

    double elapsedTime = static_cast&lt;double&gt;(clock() - start) / CLOCKS_PER_SEC;

    std::cout &lt;&lt; elapsedTime &lt;&lt; std::endl;
    std::cout &lt;&lt; &quot;sum = &quot; &lt;&lt; sum &lt;&lt; std::endl;
}
</code></pre>
<ul>
<li>Without <code>std::sort(data, data + arraySize);</code>, the code runs in 11.54 seconds.</li>
<li>With the sorted data, the code runs in 1.93 seconds.</li>
</ul>
<hr />
<p>Initially, I thought this might be just a language or compiler anomaly, so I tried Java:</p>
<pre class=""lang-java prettyprint-override""><code>import java.util.Arrays;
import java.util.Random;

public class Main
{
    public static void main(String[] args)
    {
        // Generate data
        int arraySize = 32768;
        int data[] = new int[arraySize];

        Random rnd = new Random(0);
        for (int c = 0; c &lt; arraySize; ++c)
        data[c] = rnd.nextInt() % 256;

        // !!! With this, the next loop runs faster
        Arrays.sort(data);

        // Test
        long start = System.nanoTime();
        long sum = 0;

        for (int i = 0; i &lt; 100000; ++i)
        {
            // Primary loop
            for (int c = 0; c &lt; arraySize; ++c)
            {
                if (data[c] &gt;= 128)
                    sum += data[c];
            }
        }

        System.out.println((System.nanoTime() - start) / 1000000000.0);
        System.out.println(&quot;sum = &quot; + sum);
    }
}
</code></pre>
<p>With a similar but less extreme result.</p>
<hr />
<p>My first thought was that sorting brings the data into the <a href=""https://en.wikipedia.org/wiki/CPU_cache"" rel=""noreferrer"">cache</a>, but then I thought how silly that was because the array was just generated.</p>
<ul>
<li>What is going on?</li>
<li>Why is processing a sorted array faster than processing an unsorted array?</li>
</ul>
<p>The code is summing up some independent terms, so the order should not matter.</p>",Why is processing a sorted array faster than processing an unsorted array?,Why is processing a sorted array faster than processing an unsorted array?
1,6591213,"<p>I don't want to rename a remote branch, as described in <em><a href=""https://stackoverflow.com/questions/1526794/rename-master-branch-for-both-local-and-remote-git-repositories?answertab=votes#tab-top"">Rename master branch for both local and remote Git repositories</a></em>.</p>

<p>How can I rename a local branch which hasn't been pushed to a remote branch?</p>

<p>In case you need to rename <strong>remote</strong> branch as well:<br>
<em><a href=""https://stackoverflow.com/questions/30590083/how-to-rename-a-remote-git-branch-name/30590238#30590238"">How do I rename both a Git local and remote branch name</a></em></p>",How do I rename a local Git branch?,How do I rename a local Git branch?
2,8318911,"<p>How come certain random strings produce colors when entered as background colors in HTML? For example:</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""false"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;body bgcolor=""chucknorris""&gt; test &lt;/body&gt;</code></pre>
</div>
</div>
</p>
<p>...produces a document with a <strong>red background</strong> across all browsers and platforms.</p>
<p>Interestingly, while <code>chucknorri</code> produces a red background as well, <code>chucknorr</code> produces a yellow background.</p>
<p>What’s going on here?</p>",Why does HTML think “chucknorris” is a color?,Why does HTML think “chucknorris” is a color?
3,6841333,"<p>If I run the following program, which parses two date strings referencing times 1 second apart and compares them:</p>
<pre><code>public static void main(String[] args) throws ParseException {
    SimpleDateFormat sf = new SimpleDateFormat(&quot;yyyy-MM-dd HH:mm:ss&quot;);  
    String str3 = &quot;1927-12-31 23:54:07&quot;;  
    String str4 = &quot;1927-12-31 23:54:08&quot;;  
    Date sDt3 = sf.parse(str3);  
    Date sDt4 = sf.parse(str4);  
    long ld3 = sDt3.getTime() /1000;  
    long ld4 = sDt4.getTime() /1000;
    System.out.println(ld4-ld3);
}
</code></pre>
<p><strong>The output is:</strong></p>
<pre><code>353
</code></pre>
<p>Why is <code>ld4-ld3</code>, not <code>1</code> (as I would expect from the one-second difference in the times), but <code>353</code>?</p>
<p>If I change the dates to times 1 second later:</p>
<pre><code>String str3 = &quot;1927-12-31 23:54:08&quot;;  
String str4 = &quot;1927-12-31 23:54:09&quot;;  
</code></pre>
<p>Then <code>ld4-ld3</code> will be <code>1</code>.</p>
<hr />
<p><strong>Java version:</strong></p>
<pre class=""lang-none prettyprint-override""><code>java version &quot;1.6.0_22&quot;
Java(TM) SE Runtime Environment (build 1.6.0_22-b04)
Dynamic Code Evolution Client VM (build 0.2-b02-internal, 19.0-b04-internal, mixed mode)
</code></pre>
<pre class=""lang-java prettyprint-override""><code>Timezone(`TimeZone.getDefault()`):

sun.util.calendar.ZoneInfo[id=&quot;Asia/Shanghai&quot;,
offset=28800000,dstSavings=0,
useDaylight=false,
transitions=19,
lastRule=null]

Locale(Locale.getDefault()): zh_CN
</code></pre>",Why Is Subtracting These Two Times (in 1927) Giving A Strange Result?,Why Is Subtracting These Two Times (in 1927) Giving A Strange Result?
4,14220321,"<p>I have a function <code>foo</code> which makes an asynchronous request. How can I return the response/result from <code>foo</code>?</p>
<p>I tried returning the value from the callback, as well as assigning the result to a local variable inside the function and returning that one, but none of those ways actually return the response (they all return <code>undefined</code> or whatever the initial value of the variable <code>result</code> is).</p>
<p><strong>Example using jQuery's <code>ajax</code> function:</strong></p>
<pre><code>function foo() {
    var result;

    $.ajax({
        url: '...',
        success: function(response) {
            result = response;
            // return response; // &lt;- I tried that one as well
        }
    });

    return result; // It always returns `undefined`
}
</code></pre>
<p><strong>Example using node.js:</strong></p>
<pre><code>function foo() {
    var result;

    fs.readFile(&quot;path/to/file&quot;, function(err, data) {
        result = data;
        // return data; // &lt;- I tried that one as well
    });

    return result; // It always returns `undefined`
}
</code></pre>
<p><strong>Example using the <code>then</code> block of a promise:</strong></p>
<pre><code>function foo() {
    var result;

    fetch(url).then(function(response) {
        result = response;
        // return response; // &lt;- I tried that one as well
    });

    return result; // It always returns `undefined`
}
</code></pre>",How do I return the response from an asynchronous call?,How do I return the response from an asynchronous call?
5,16956810,"<p>I'm trying to find a way to scan my entire Linux system for all files containing a specific string of text. Just to clarify, I'm looking for text within the file, not in the file name.</p>

<p>When I was looking up how to do this, I came across this solution twice:</p>

<pre><code>find / -type f -exec grep -H 'text-to-find-here' {} \;
</code></pre>

<p>However, it doesn't work. It seems to display every single file in the system.</p>

<p>Is this close to the proper way to do it? If not, how should I? This ability to find text strings in files would be extraordinarily useful for some programming projects I'm doing.</p>",How do I find all files containing specific text on Linux?,How do I find all files containing specific text on Linux?
6,9329446,"<p>How can I loop through all the entries in an array using JavaScript?</p>

<p>I thought it was something like this:</p>

<pre><code>forEach(instance in theArray)
</code></pre>

<p>Where <code>theArray</code> is my array, but this seems to be incorrect.</p>",For-each over an array in JavaScript,For-each over an array in JavaScript
7,14994391,"<p>Suppose I'm familiar with developing client-side applications in <a href=""http://jquery.com/"" rel=""noreferrer"">jQuery</a>, but now I'd like to start using <a href=""http://angularjs.org/"" rel=""noreferrer"">AngularJS</a>. Can you describe the paradigm shift that is necessary? Here are a few questions that might help you frame an answer:</p>

<ul>
<li>How do I architect and design client-side web applications differently? What is the biggest difference?</li>
<li>What should I stop doing/using; What should I start doing/using instead?</li>
<li>Are there any server-side considerations/restrictions?</li>
</ul>

<p>I'm not looking for a detailed comparison between <code>jQuery</code> and <code>AngularJS</code>.</p>","""Thinking in AngularJS"" if I have a jQuery background?","""Thinking in AngularJS"" if I have a jQuery background?"
8,11828270,"<p>I'm stuck and cannot escape. It says:</p>

<pre><code>""type :quit&lt;Enter&gt; to quit VIM""
</code></pre>

<p>But when I type that it simply appears in the object body.</p>",How do I exit the Vim editor?,How do I exit the Vim editor?
9,7244321,"<p>I recently forked a project and applied several fixes. I then created a pull request which was then accepted.</p>

<p>A few days later another change was made by another contributor. So my fork doesn't contain that change. </p>

<p>How can I get that change into my fork? Do I need to delete and re-create my fork when I have further changes to contribute? Or is there an update button?</p>",How do I update a GitHub forked repository?,How do I update a GitHub forked repository?
