,id,body,title,title
0,26215785,"<p>I want to get the list of all the jobs that are scheduled by node-schedule</p>

<pre><code> var scheduleIds = schedule.scheduleJob(scheduleId,rule, function() {
  console.log(""HELLO"")
   })    
</code></pre>

<p>here scheduleId is a unique key and there are multiple jobs running with different names. How can I find a job from its name and cancel it?</p>",How to get all the jobs scheduled with different names in node-schedule?,How to get all the jobs scheduled with different names in node-schedule?
1,26215786,"<p>I've got an PDO connecting wich executes a query, but in don't know how to read the fetched result, the result comes back as an object instead of an array.</p>

<pre><code>    $query = $MyPDO-&gt;query(""SELECT count(ID) FROM score WHERE totalscore&gt;? AND competition=?"",$data['totalscore'],$data['competition']);
//$fetch = $query-&gt;fetch();
while($fetch = $query-&gt;fetch()){
    var_dump($fetch);
}
</code></pre>

<p>And the result is:</p>

<pre><code>object(stdClass)#3 (1) { [""count(ID)""]=&gt; string(2) ""27"" } 
</code></pre>

<p>Can anyone tell me how to read this? <code>$fetch[""count(ID)""]</code> did not work, <code>$fetch[0]</code> neither.</p>",How do I read the following query,How do I read the following query
2,26215787,"<p>I have upgraded Google Maps v1 to v2 in my Android application.</p>

<p>And v2 was nice and so on BUT one method seems to be the slowest thing in my life.</p>

<pre><code>Projection proj = map.getProjection();
Point point = proj.toScreenLocation(example.m_geopoint);
</code></pre>

<p>toScreenLocation(...) is so slow so the application slow downs to unusable slowmotion.
The method updated maybe 100 times per frame but that works very very great on Google Maps v1.</p>

<p>And when I check in Android Console I see this:</p>

<pre><code>10-06 13:53:04.460: D/dalvikvm(4889): GC_EXPLICIT freed 251K, 14% free 14622K/16839K, paused 3ms+5ms
10-06 13:53:05.859: D/dalvikvm(4889): GC_EXPLICIT freed 252K, 14% free 14622K/16839K, paused 2ms+5ms
10-06 13:53:07.222: D/dalvikvm(4889): GC_EXPLICIT freed 251K, 14% free 14622K/16839K, paused 3ms+6ms
...
</code></pre>

<p>This message is coming out all the time while the method is called.</p>

<p>And the difference between v2 and v1 is this:</p>

<pre><code>pointOut = proj.toScreenLocation(geopointIn); // v2
projection.toPixels(geopointIn, pointOut); // v1
</code></pre>

<p>And the v1 seems to be more optimized solution. Is there some way to get it faster? Is it a performance bug?</p>",Google Maps v2 Projection.toScreenLocation(...) extremely slow,Google Maps v2 Projection.toScreenLocation(...) extremely slow
3,26215789,"<p>I had a quick question about nested if statements. My code needs to check that the user inputs is a valid double and that it is not a zero and then outputs the reciprocal. I can get it to check that the input is an valid input and output the reciprocal but when I try to enter in a zero it terminates the program. Any help would be appreciated!</p>

<pre><code>import java.util.Scanner;
public class Reciprocal {

    public static void main(String[]args){
    Scanner stdin = new Scanner(System.in);
    System.out.println(""Please enter in a non-zero number"");
    if (stdin.hasNextDouble()) {
        double number = stdin.nextDouble();
        if (number != 0) {
            System.out.println(""The Reciprocal is "" + 1 / number);
        }
        System.out.println(""The Not Reciprocal is"");            
    } else {
      System.out.println("" The input you entered is invalid, please try again."");
    }
    }
}
</code></pre>",Nested if statements in java not reading second if statement,Nested if statements in java not reading second if statement
4,26215790,"<p>When trying to create a virtulenv using venv with python 3 on ubuntu it isn’t creating an activate script. It conitunally exits with an error 1.</p>

<p>Following docs and other posts on SO such as <a href=""https://stackoverflow.com/a/19848770"">https://stackoverflow.com/a/19848770</a></p>

<p>I have tried creating it 2 different ways.</p>

<pre><code>sayth@sayth-TravelMate-5740G:~/scripts$ python3 -m venv test4
Error: Command '['/home/sayth/scripts/test4/bin/python3', '-Im', 'ensurepip', '--upgrade', '--default-pip']' returned non-zero exit status 1
sayth@sayth-TravelMate-5740G:~/scripts$ source test4/bin/activate
bash: test4/bin/activate: No such file or directory
sayth@sayth-TravelMate-5740G:~/scripts$ ls test4/bin/
python  python3
</code></pre>

<p>or</p>

<pre><code>sayth@sayth-TravelMate-5740G:~/scripts$ pyvenv-3.4 test5
Error: Command '['/home/sayth/scripts/test5/bin/python3.4', '-Im', 'ensurepip', '--upgrade', '--default-pip']' returned non-zero exit status 1
sayth@sayth-TravelMate-5740G:~/scripts$ ls test5/bin/
python  python3  python3.4
</code></pre>

<p>How can I get it to fully create a venv?</p>

<p>If I do it as below with stil no success unsure what the issue is?</p>

<pre><code>sayth@sayth-TravelMate-5740G:~/scripts$ python3 -Im venv panda3
Error: Command '['/home/sayth/scripts/panda3/bin/python3', '-Im', 'ensurepip', '--upgrade', '--default-pip']' returned non-zero exit status 1
sayth@sayth-TravelMate-5740G:~/scripts$ python3 -m venv panda4
Error: Command '['/home/sayth/scripts/panda4/bin/python3', '-Im', 'ensurepip', '--upgrade', '--default-pip']' returned non-zero exit status 1
</code></pre>",venv doesn't create activate script python3,venv doesn't create activate script python3
5,26215795,"<p>I currently try to get my JSON Data into a DatagridView so it is in a reader-friendly format.
I use this to get my JSON String:</p>

<pre><code>Dim Uri As New Uri(""LINK"")
Dim jsonString As String = ""{ """"Version"""": """"1"""" }""
Dim data = Encoding.UTF8.GetBytes(jsonString)
Dim result_post = SendRequest(Uri, data, ""application/json"", ""POST"")
MsgBox(result_post)
</code></pre>

<p>This is what I get on the MsgBox</p>

<pre><code>{
   ""code"":200,
   ""status"":""OK"",
   ""data"":{
      ""Catalog"":[
         {
            ""ItemId"":""shield_level_5"",
            ""ItemClass"":""shields"",
            ""CatalogVersion"":""1"",
            ""DisplayName"":""Level 5 Shield"",
            ""Description"":""Strong defense against projectile attacks"",
            ""VirtualCurrencyPrices"":{
               ""RM"":199,
               ""VC"":25
            },
            ""RealCurrencyPrices"":{
               ""GBP"":149,
               ""EUR"":169
            }
         },
         {
            ""ItemId"":""energy_boost_1"",
            ""ItemClass"":""boosts"",
            ""CatalogVersion"":""1"",
            ""DisplayName"":""Energy Drink Six-Pack"",
            ""Description"":""Get a quick burst of energy whenever you need it"",
            ""VirtualCurrencyPrices"":{
               ""RM"":199,
               ""VC"":25
            }
         },
         {
            ""ItemId"":""required_item_for_grant_a_1"",
            ""ItemClass"":""sets"",
            ""CatalogVersion"":""1"",
            ""DisplayName"":""Grant Set Item 1"",
            ""Description"":""Item 1 from the set of items needed to get Granted Item A for free"",
            ""VirtualCurrencyPrices"":{
               ""RM"":249,
               ""VC"":1500
            }
         },
         {
            ""ItemId"":""required_item_for_grant_a_2"",
            ""ItemClass"":""sets"",
            ""CatalogVersion"":""1"",
            ""DisplayName"":""Grant Set Item 2"",
            ""Description"":""Item 2 from the set of items needed to get Granted Item A for free"",
            ""VirtualCurrencyPrices"":{
               ""RM"":249,
               ""VC"":1500
            }
         },
         {
            ""ItemId"":""required_item_for_grant_a_3"",
            ""ItemClass"":""sets"",
            ""CatalogVersion"":""1"",
            ""DisplayName"":""Grant Set Item 3"",
            ""Description"":""Item 3 from the set of items needed to get Granted Item A for free"",
            ""VirtualCurrencyPrices"":{
               ""RM"":249,
               ""VC"":1500
            }
         },
         {
            ""ItemId"":""required_item_for_grant_a_4"",
            ""ItemClass"":""sets"",
            ""CatalogVersion"":""1"",
            ""DisplayName"":""Grant Set Item 4"",
            ""Description"":""Item 4 from the set of items needed to get Granted Item A for free"",
            ""VirtualCurrencyPrices"":{
               ""RM"":249,
               ""VC"":1500
            }
         },
         {
            ""ItemId"":""granted_item_a"",
            ""ItemClass"":""sets"",
            ""CatalogVersion"":""1"",
            ""DisplayName"":""Granted Item A"",
            ""Description"":""Bonus item granted for free once the full set of 4 Grant Set items are collected"",
            ""GrantedIfPlayerHas"":[
               ""required_item_for_grant_a_1"",
               ""required_item_for_grant_a_2"",
               ""required_item_for_grant_a_3"",
               ""required_item_for_grant_a_4""
            ]
         },
         {
            ""ItemId"":""consumable_item_1"",
            ""ItemClass"":""Consumables"",
            ""CatalogVersion"":""1"",
            ""DisplayName"":""Consumable Item 1"",
            ""Description"":""Item demonstrating usage-based consumables"",
            ""VirtualCurrencyPrices"":{
               ""VC"":500
            },
            ""Consumable"":{
               ""UsageCount"":3
            }
         },
         {
            ""ItemId"":""consumable_item_2"",
            ""ItemClass"":""Consumables"",
            ""CatalogVersion"":""1"",
            ""DisplayName"":""Consumable Item 2"",
            ""Description"":""Item demonstrating time-based consumables"",
            ""VirtualCurrencyPrices"":{
               ""VC"":750
            },
            ""Consumable"":{
               ""UsagePeriod"":3600,
               ""UsagePeriodGroup"":""usage_group_1""
            }
         },
         {
            ""ItemId"":""sub_bundle_item_1"",
            ""ItemClass"":""Bundles"",
            ""CatalogVersion"":""1"",
            ""DisplayName"":""Bundled Item 1"",
            ""Description"":""Item which is added to the user inventory as part of a bundle""
         },
         {
            ""ItemId"":""sub_bundle_item_2"",
            ""ItemClass"":""Bundles"",
            ""CatalogVersion"":""1"",
            ""DisplayName"":""Bundled Item 2"",
            ""Description"":""Item which is added to the user inventory as part of a bundle""
         },
         {
            ""ItemId"":""item_bundle_1"",
            ""ItemClass"":""Bundles"",
            ""CatalogVersion"":""1"",
            ""DisplayName"":""Item bundle 1"",
            ""Description"":""Item which, when added to the user inventory, also adds other bundled items"",
            ""VirtualCurrencyPrices"":{
               ""RM"":599
            },
            ""Bundle"":{
               ""BundledItems"":[
                  ""sub_bundle_item_1"",
                  ""sub_bundle_item_2""
               ],
               ""BundledResultTables"":[
                  ""random_result_1""
               ],
               ""BundledVirtualCurrencies"":{
                  ""VC"":1000
               }
            }
         },
         {
            ""ItemId"":""key_item_1"",
            ""ItemClass"":""Containers"",
            ""CatalogVersion"":""1"",
            ""DisplayName"":""Key Item 1"",
            ""Description"":""Key used to unlock Container 1"",
            ""VirtualCurrencyPrices"":{
               ""RM"":199
            }
         },
         {
            ""ItemId"":""sub_container_item_1"",
            ""ItemClass"":""Containers"",
            ""CatalogVersion"":""1"",
            ""DisplayName"":""Container Item 1"",
            ""Description"":""Item which is added to the user inventory as part of opening a container""
         },
         {
            ""ItemId"":""sub_container_item_2"",
            ""ItemClass"":""Containers"",
            ""CatalogVersion"":""1"",
            ""DisplayName"":""Container Item 2"",
            ""Description"":""Item which is added to the user inventory as part of opening a container""
         },
         {
            ""ItemId"":""item_container_1"",
            ""ItemClass"":""Containers"",
            ""CatalogVersion"":""1"",
            ""DisplayName"":""Item Container 1"",
            ""Description"":""Item which, when opened with Key Item 1, also adds the items it holds to the user inventory"",
            ""VirtualCurrencyPrices"":{
               ""RM"":499
            },
            ""Consumable"":{
               ""UsageCount"":1
            },
            ""Container"":{
               ""KeyItemId"":""key_item_1"",
               ""ItemContents"":[
                  ""sub_container_item_1"",
                  ""sub_container_item_2""
               ],
               ""ResultTableContents"":[
                  ""random_result_1""
               ],
               ""VirtualCurrencyContents"":{
                  ""VC"":1000
               }
            }
         },
         {
            ""ItemId"":""item_container_2"",
            ""ItemClass"":""Containers"",
            ""CatalogVersion"":""1"",
            ""DisplayName"":""Item Container 2"",
            ""Description"":""Item which, when opened (no key needed), adds the items it holds to the user inventory"",
            ""VirtualCurrencyPrices"":{
               ""RM"":99
            },
            ""Consumable"":{
               ""UsageCount"":1
            },
            ""Container"":{
               ""VirtualCurrencyContents"":{
                  ""VC"":1000
               }
            }
         },
         {
            ""ItemId"":""starterpack_1"",
            ""ItemClass"":""starterpacks"",
            ""CatalogVersion"":""1"",
            ""DisplayName"":""Super Starter Pack"",
            ""Description"":""Everything you need to get started fast track at the right price""
         }
      ]
   }
}
</code></pre>

<p>Now, I want to get the data of each item in the JSON String into a DatagridView which looks like this: </p>

<p><img src=""https://i.stack.imgur.com/hXkdg.png"" alt=""http://i.epvpimg.com/5i9ug.png""></p>

<p>I tried using</p>

<pre><code>Dim obj = JsonConvert.DeserializeObject(Of JSON_result)(result_post)
</code></pre>

<p>but I don't know how to continue further and loop each item in the string. When I try to get items out directly the string it is empty.</p>

<p>I hope someone can help me.</p>

<p>Greetz,
Kia.</p>",JSON Data into DatagridView in VB.NET,JSON Data into DatagridView in VB.NET
6,26215799,"<p>I am using .bat file to connect remote server to run an application, below is the .bat file</p>

<p>""C:\Program Files\PuTTY\plink.exe"" -i ""C:\Program Files\PuTTY\private.ppk"" user_Name@20.223.45.63 ""/path/Scripts/GetFolderList.sh /path/to/dir"";</p>

<p>this is working fine, I mean this connecting to remote location but I am not getting output because of in windows task manager I can see the plink.exe and psftp.exe is not auto closing when close manually I get output.</p>

<p>I am not understand where is the mistake.</p>

<p>please help me out.</p>

<p>Thanks
Akshay Chakre    </p>",plink is closing after scriopt is executed in windows .bat file,plink is closing after scriopt is executed in windows .bat file
7,26215802,"<p>I am creating an app that uses the devices camera.
I need to implement a function that checks if the user has allowed the app to access the devices camera, if they have not, the scene that uses the camera just shows a black screen.</p>

<p>Because Unity only supports Application.HasUserAuthorization in the webplayer platform I need to add the authorization check to the project through XCode after build.</p>

<p>Firstly I added the following code to <strong>didFinishLaunchingWithOptions</strong> in the <strong>UnityAppController.mm</strong> file:</p>

<pre><code>// Determine camera access on iOS &gt;= 7
if ([AVCaptureDevice respondsToSelector:@selector(requestAccessForMediaType:completionHandler:)]) {
    // Completion handler will be dispatched on a separate thread
    [AVCaptureDevice requestAccessForMediaType:AVMediaTypeVideo completionHandler:^(BOOL granted) {
        if (YES == granted) {
            // User granted access to the camera, continue with app launch
            CameraIsAvailable = YES;
            CameraCheckDone = YES;
        }
        else {
            CameraIsAvailable = NO;
            CameraCheckDone = YES;

        }

    }];
}

else {
    // iOS &lt; 7 (camera access always OK)
    CameraCheckDone = YES;
    // Continue with app launch...
}
</code></pre>

<p>and the follwoing code to <strong>applicationDidBecomeActive</strong> </p>

<pre><code>while (!CameraCheckDone) { }
    if(!CameraIsAvailable){
        UIAlertView *alertView = [[UIAlertView alloc] initWithTitle:@""Authorize Camera""
                                                            message:@""Instructions go here""
                                                           delegate:self
                                                  cancelButtonTitle:@""OK""
                                                  otherButtonTitles:nil];
        [alertView show];
        [alertView release];

    }
</code></pre>

<p>The result is that every time the app is run, a popup appears instructing the user to activate the camera, which is progress, but they still have access to the scene that shows the black screen instead of the camera view.</p>

<p>Is there any way that I can access the <strong>CameraIsAvilable</strong> variable from within Unity?</p>

<p>Any suggestions would be greatly appreciated! TIA!</p>",Unity3D access variable set through Xcode,Unity3D access variable set through Xcode
8,26215804,"<p>I'm trying to set the doctype for my Skin to the html5 <code>&lt;!doctype html&gt;</code> doctype. However, I want to prevent the need to have to remember to do this for each variant I create. That is, my current structure was:</p>

<pre><code>_default\Skins\MySkin\TwoColumnLayout.ascx
_default\Skins\MySkin\TwoColumnLayout.doctype.ascx
</code></pre>

<p>With the latter containing the contents:</p>

<pre class=""lang-xml prettyprint-override""><code>&lt;SkinDocType&gt;&lt;![CDATA[&lt;!DOCTYPE html&gt;]]&gt;&lt;/SkinDocType&gt;
</code></pre>

<p>Now I want to create more <code>ascx</code> layouts, without having to remember to create a doctype file. So I followed DNN instructions I found <a href=""http://www.dnnsoftware.com/community-blog/cid/134867/using-skin-level-doctypes"" rel=""nofollow"">here</a> and <a href=""http://www.dnnsoftware.com/wiki/page/doctype"" rel=""nofollow"">here</a>, creating this structure:</p>

<pre><code>_default\Skins\MySkin\TwoColumnLayout.ascx
_default\Skins\MySkin\ThreeColumnLayout.ascx
_default\Skins\MySkin\Default.doctype.ascx (A)
_default\Skins\MySkin\MySkin.doctype.ascx (B)
_default\Skins\MySkin\MySkindoctype.ascx (C)
</code></pre>

<p>But none of them worked. I had (A) there as my gut-feeling attempt, option (B) from my first time reading the first bit of linked documentation, and (C) from the second time reading the documentation. However, none of them worked...</p>

<p>Of course I can repeat the doctype file for each view, but I'm bound to forget that one day. Is there a way to set the doctype <em>once</em> for all views in my skin?</p>",How to set the doctype for all skin layouts at once?,How to set the doctype for all skin layouts at once?
9,26215809,"<p>I am trying to deploy a war file of a web project created using spring boot on JETTY server(8.1.4).</p>

<p>The deployment is failing with following exception,</p>

<pre><code>Caused by: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'transactionManager' defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceTransactionManagerAutoConfiguration.class]: Instantiation of bean failed; nested exception is org.springframework.beans.factory.BeanDefinitionStoreException: Factory method [public org.springframework.transaction.PlatformTransactionManager org.springframework.boot.autoconfigure.jdbc.DataSourceTransactionManagerAutoConfiguration.transactionManager()] threw exception; nested exception is java.lang.ClassCastException: org.springframework.jdbc.datasource.DataSourceTransactionManager cannot be cast to org.springframework.transaction.PlatformTransactionManager
    at org.springframework.beans.factory.support.ConstructorResolver.instantiateUsingFactoryMethod(ConstructorResolver.java:597)
    at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.instantiateUsingFactoryMethod(AbstractAutowireCapableBeanFactory.java:1095)
    at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBeanInstance(AbstractAutowireCapableBeanFactory.java:990)
    at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:504)
    at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:475)
    at org.springframework.beans.factory.support.AbstractBeanFactory$1.getObject(AbstractBeanFactory.java:302)
    at org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:228)
    at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:298)
    at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:193)
</code></pre>

<p>I am not able to get the root cause for this exception.</p>

<p>My <code>pom.xml</code> is as follows</p>

<pre><code>&lt;?xml version=""1.0"" encoding=""UTF-8""?&gt;
&lt;project xmlns=""http://maven.apache.org/POM/4.0.0"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://maven.apache.org/POM/4.0.0 http://maven.apache.org/xsd/maven-4.0.0.xsd""&gt;
&lt;modelVersion&gt;4.0.0&lt;/modelVersion&gt;

&lt;groupId&gt;org.healthfidelity&lt;/groupId&gt;
&lt;artifactId&gt;HFIam&lt;/artifactId&gt;
&lt;version&gt;0.0.1-SNAPSHOT&lt;/version&gt;
&lt;packaging&gt;war&lt;/packaging&gt;

&lt;name&gt;HFIam&lt;/name&gt;
&lt;description&gt; application&lt;/description&gt;

&lt;parent&gt;
    &lt;groupId&gt;org.springframework.boot&lt;/groupId&gt;
    &lt;artifactId&gt;spring-boot-starter-parent&lt;/artifactId&gt;
    &lt;version&gt;1.1.7.RELEASE&lt;/version&gt;
    &lt;relativePath /&gt; &lt;!-- lookup parent from repository --&gt;
&lt;/parent&gt;

&lt;dependencies&gt;

    &lt;!-- Spring dependencies --&gt;
    &lt;dependency&gt;
        &lt;groupId&gt;org.springframework.boot&lt;/groupId&gt;
        &lt;artifactId&gt;spring-boot-starter-actuator&lt;/artifactId&gt;
        &lt;exclusions&gt;
            &lt;exclusion&gt;
                &lt;groupId&gt;org.springframework.boot&lt;/groupId&gt;
                &lt;artifactId&gt;spring-boot-starter-tomcat&lt;/artifactId&gt;
            &lt;/exclusion&gt;
            &lt;exclusion&gt;
                &lt;groupId&gt;org.springframework.boot&lt;/groupId&gt;
                &lt;artifactId&gt;spring-boot-starter-logging&lt;/artifactId&gt;
            &lt;/exclusion&gt;
        &lt;/exclusions&gt;
    &lt;/dependency&gt;
    &lt;dependency&gt;
        &lt;groupId&gt;org.springframework.boot&lt;/groupId&gt;
        &lt;artifactId&gt;spring-boot-starter-jetty&lt;/artifactId&gt;
        &lt;exclusions&gt;
            &lt;exclusion&gt;
                &lt;groupId&gt;org.springframework.boot&lt;/groupId&gt;
                &lt;artifactId&gt;spring-boot-starter-logging&lt;/artifactId&gt;
            &lt;/exclusion&gt;
        &lt;/exclusions&gt;
    &lt;/dependency&gt;

    &lt;dependency&gt;
        &lt;groupId&gt;org.springframework.boot&lt;/groupId&gt;
        &lt;artifactId&gt;spring-boot-starter-web&lt;/artifactId&gt;
        &lt;exclusions&gt;
            &lt;exclusion&gt;
                &lt;groupId&gt;org.springframework.boot&lt;/groupId&gt;
                &lt;artifactId&gt;spring-boot-starter-logging&lt;/artifactId&gt;
            &lt;/exclusion&gt;
        &lt;/exclusions&gt;
    &lt;/dependency&gt;

    &lt;!-- Test tools --&gt;
    &lt;dependency&gt;
        &lt;groupId&gt;org.springframework.boot&lt;/groupId&gt;
        &lt;artifactId&gt;spring-boot-starter-test&lt;/artifactId&gt;
        &lt;scope&gt;test&lt;/scope&gt;
    &lt;/dependency&gt;

    &lt;dependency&gt;
        &lt;groupId&gt;org.mockito&lt;/groupId&gt;
        &lt;artifactId&gt;mockito-all&lt;/artifactId&gt;
        &lt;version&gt;1.9.5&lt;/version&gt;
    &lt;/dependency&gt;

    &lt;dependency&gt;
        &lt;groupId&gt;org.springframework&lt;/groupId&gt;
        &lt;artifactId&gt;spring-context-support&lt;/artifactId&gt;
        &lt;exclusions&gt;
            &lt;exclusion&gt;
                &lt;groupId&gt;commons-logging&lt;/groupId&gt;
                &lt;artifactId&gt;commons-logging&lt;/artifactId&gt;
            &lt;/exclusion&gt;
        &lt;/exclusions&gt;
    &lt;/dependency&gt;

    &lt;!--Spring security --&gt;
    &lt;dependency&gt;
        &lt;groupId&gt;org.springframework.boot&lt;/groupId&gt;
        &lt;artifactId&gt;spring-boot-starter-security&lt;/artifactId&gt;
    &lt;/dependency&gt;

    &lt;!-- LogBack dependencies --&gt;
    &lt;dependency&gt;
        &lt;groupId&gt;ch.qos.logback&lt;/groupId&gt;
        &lt;artifactId&gt;logback-classic&lt;/artifactId&gt;
        &lt;version&gt;1.1.2&lt;/version&gt;
        &lt;scope&gt;provided&lt;/scope&gt;
    &lt;/dependency&gt;
    &lt;dependency&gt;
        &lt;groupId&gt;org.slf4j&lt;/groupId&gt;
        &lt;artifactId&gt;jcl-over-slf4j&lt;/artifactId&gt;
        &lt;version&gt;1.7.7&lt;/version&gt;
        &lt;scope&gt;provided&lt;/scope&gt;
    &lt;/dependency&gt;

    &lt;!-- JAVA mail dependency --&gt;
    &lt;dependency&gt;
        &lt;groupId&gt;javax.mail&lt;/groupId&gt;
        &lt;artifactId&gt;mail&lt;/artifactId&gt;
        &lt;version&gt;1.4.7&lt;/version&gt;
    &lt;/dependency&gt;

    &lt;!--Templating engine --&gt;
    &lt;dependency&gt;
        &lt;groupId&gt;org.apache.velocity&lt;/groupId&gt;
        &lt;artifactId&gt;velocity&lt;/artifactId&gt;
        &lt;version&gt;1.7&lt;/version&gt;
    &lt;/dependency&gt;

    &lt;!--Spring ldap --&gt;
    &lt;dependency&gt;
        &lt;groupId&gt;org.springframework.ldap&lt;/groupId&gt;
        &lt;artifactId&gt;spring-ldap-core&lt;/artifactId&gt;
        &lt;version&gt;2.0.2.RELEASE&lt;/version&gt;
    &lt;/dependency&gt;

    &lt;!--Porticor utility --&gt;
    &lt;dependency&gt;
        &lt;groupId&gt;PorticorUtility&lt;/groupId&gt;
        &lt;artifactId&gt;PorticorUtility&lt;/artifactId&gt;
        &lt;version&gt;1.0&lt;/version&gt;
    &lt;/dependency&gt;

    &lt;!--Others --&gt;
    &lt;dependency&gt;
        &lt;groupId&gt;commons-io&lt;/groupId&gt;
        &lt;artifactId&gt;commons-io&lt;/artifactId&gt;
        &lt;version&gt;2.4&lt;/version&gt;
    &lt;/dependency&gt;

    &lt;!-- Dependencies used for testing --&gt;
    &lt;dependency&gt;
        &lt;groupId&gt;org.subethamail&lt;/groupId&gt;
        &lt;artifactId&gt;subethasmtp&lt;/artifactId&gt;
        &lt;version&gt;3.1.7&lt;/version&gt;
    &lt;/dependency&gt;

&lt;/dependencies&gt;

&lt;properties&gt;
    &lt;project.build.sourceEncoding&gt;UTF-8&lt;/project.build.sourceEncoding&gt;
    &lt;start-class&gt;org.healthfidelity.hfiam.Application&lt;/start-class&gt;
    &lt;java.version&gt;1.6&lt;/java.version&gt;
&lt;/properties&gt;

&lt;build&gt;
    &lt;plugins&gt;
        &lt;plugin&gt;
            &lt;groupId&gt;org.springframework.boot&lt;/groupId&gt;
            &lt;artifactId&gt;spring-boot-maven-plugin&lt;/artifactId&gt;
        &lt;/plugin&gt;
    &lt;/plugins&gt;
&lt;/build&gt;
</code></pre>

<p></p>",Spring Application deployment giving an error,Spring Application deployment giving an error
