,id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
0,65444196,How to have window's batch file detect when the screensaver is on?,"<p>How to program a batch program to determine if a the screensaver is running or if the user went to sleep, or locked the computer?</p>
<p>In bash in Ubuntu Linux I am using the code: <code>/gnome-screensaver-command -q | grep &quot;is active&quot;</code> to determine if screensaver is running.</p>
<p>Note: I am not seeking recommendations for books, tools, software libraries...</p>
<p>Unless there is a better approach, I am working off of this script to look for processes running.  But I have to find the name of the screensaver process.</p>
<pre><code>@echo off
set pn=%1
echo looking for %pn%
tasklist /FI &quot;IMAGENAME eq %pn%&quot; 2&gt;NUL | find /I /N &quot;%pn%&quot;&gt;NUL
if %ERRORLEVEL%==0 (
    echo Found program running
) else (
    echo NOT FOUND running  
)
</code></pre>",65444620.0,2,1,,2020-12-24 23:59:21.060000+00:00,,2020-12-29 04:53:38.267000+00:00,2020-12-25 01:13:31.443000+00:00,,767829.0,,767829,,1,1,windows|batch-file|windows-10|windows-screensaver,117
1,65444193,"Get ""Killed"" when I run ""ssl._create_unverified_context()"" in python3.7","<p>Ok let's start. I cross compile the Python with version 3.7.7. With a cross compile version OpenSSL3.1.1.
i can import ssl without any error. But When I run ssl._create_unverified_context().It just get &quot;Killed&quot;.</p>
<pre><code>Python 3.7.7 (default, Dec 25 2020, 02:54:57)
[GCC 6.3.0] on linux
Type &quot;help&quot;, &quot;copyright&quot;, &quot;credits&quot; or &quot;license&quot; for more information.
&gt;&gt;&gt; import ssl                                                               
&gt;&gt;&gt; ssl.OPENSSL_VERSION                                                              
'LibreSSL 3.1.1'
&gt;&gt;&gt; ssl._create_unverified_context()
Killed 
</code></pre>
<p>CPU: armv71 ；
Mem: 256MB ；</p>
<p>How can I get more infomation in Python? Or how can i check somewhere to findout the problem is .</p>",,0,0,,2020-12-24 23:58:25.107000+00:00,,2020-12-25 00:28:01.357000+00:00,2020-12-25 00:28:01.357000+00:00,,14465132.0,,14465132,,1,0,python|ssl,29
2,65444192,How to read subclass JSON with GSON,"<p>this is my code, and i can get strings like status, but for example &quot;proxy&quot; i cannot because is inside of &quot;8.8.8.8&quot;, my question is, how can I get the value of &quot;proxy&quot; with GSON.</p>
<pre><code>{
    &quot;status&quot;: &quot;ok&quot;,
    &quot;8.8.8.8&quot;: {
        &quot;asn&quot;: &quot;AS15169&quot;,
        &quot;provider&quot;: &quot;Google LLC&quot;,
        &quot;continent&quot;: &quot;North America&quot;,
        &quot;country&quot;: &quot;United States&quot;,
        &quot;isocode&quot;: &quot;US&quot;,
        &quot;latitude&quot;: 37.751,
        &quot;longitude&quot;: -97.822,
        &quot;proxy&quot;: &quot;no&quot;,
        &quot;type&quot;: &quot;Business&quot;
    }
}
</code></pre>
<pre><code>    public static void main(String[] args) {

        URL url = null;

        try {
            url = new URL(&quot;https://proxycheck.io/v2/8.8.8.8?vpn=1&amp;asn=1&amp;tag=proxycheck.io&quot;);
            URLConnection request = url.openConnection();
            request.connect();

            JsonParser jp = new JsonParser();

            JsonElement root = jp.parse(new InputStreamReader((InputStream) request.getContent()));
            System.out.println(root);

            JsonObject rootobj = root.getAsJsonObject();

            JsonElement proxy = rootobj.get(&quot;8.8.8.8&quot;);
            System.out.println(proxy);

        } catch (MalformedURLException e) {
            e.printStackTrace();
        } catch (IOException e) {
            e.printStackTrace();
        }

    }
</code></pre>",,2,3,,2020-12-24 23:57:38.407000+00:00,,2020-12-25 01:44:07.047000+00:00,,,,,10249767,,1,0,java|gson,46
3,65444188,How to use dynamodb:LeadingKeys when Partition key has more than one kind of values,"<p>My Dynamo Tables have tenant_id as the partition key in my multi-tenant application but my partition key also has other types of entities in it in addition to tenant_id.</p>
<p>For example: (This is a small example, we are using this pattern throughout)</p>
<pre><code>PK                                        SK                               Att
Customer-4312a674-54a                  user-abc                            672453782
user-abc                                   user-abc                            672453782
</code></pre>
<p>I would like to use  <code>dynamodb:LeadingKeys</code>  to ensure data of one tenant can never be accessed by another tenant. How can I go about that in this case when <code>PK</code> is overloaded and has other entities in it as well.</p>",65476354.0,1,4,,2020-12-24 23:55:47.500000+00:00,,2020-12-28 10:41:29.367000+00:00,2020-12-25 00:01:33.583000+00:00,,2699001.0,,2699001,,1,1,amazon-web-services|security|amazon-dynamodb|multi-tenant|saas,39
4,65444187,trigger_topic not working on terraform resource google_cloudfunctions_function,"<p>I have the following resource defined for terraform to create a cloud function. I want to be able to get it triggered thru a pubsub message.<br />
which one of the block do I use ? event_trigger or trigger_topic</p>
<pre><code>resource &quot;google_cloudfunctions_function&quot; &quot;function&quot; {

    name                      = var.appname
    entry_point               = &quot;entry&quot;
    available_memory_mb       = 128
    timeout                   = 120
    project                   = var.gcpproject
    region                    = var.region
    #trigger_topic             = &quot;projects/${var.gcpproject}/topics/cloud-builds-topic&quot;**
    source_archive_bucket     = var.google_storage_bucket
    source_archive_object     = &quot;code/${var.appname}.zip&quot;
    runtime     = &quot;python3.7&quot;
   #event_trigger = {
   #   event_type= &quot;google.pubsub.topic.publish&quot;
   #   resource= &quot;projects/${var.gcpproject}/topics/cloud-builds-topic&quot;
   #   service= &quot;pubsub.googleapis.com&quot;
   #   failure_policy= {}
   # }
}
</code></pre>
<p>When i use trigger_topic, it errors with</p>
<pre><code>Error: Unsupported argument

  on main.tf line 12, in resource &quot;google_cloudfunctions_function&quot; &quot;function&quot;:
  12:     trigger_topic             = &quot;projects/${var.gcpproject}/topics/cloud-builds-topic&quot;

An argument named &quot;trigger_topic&quot; is not expected here.
</code></pre>
<p>and when i use event_trigger, it errors with</p>
<pre><code>Error: Unsupported argument

  on main.tf line 16, in resource &quot;google_cloudfunctions_function&quot; &quot;function&quot;:
  16:     event_trigger = {

An argument named &quot;event_trigger&quot; is not expected here. Did you mean to define
a block of type &quot;event_trigger&quot;?
</code></pre>",65444288.0,1,0,,2020-12-24 23:55:37.770000+00:00,,2020-12-25 00:25:19.323000+00:00,,,,,1615052,,1,1,google-cloud-functions|terraform,100
5,65444185,R is giving the wrong max date,"<p>I am having an annoying issue in R that is not recognizing the correct date in my dataframe as the max date. I am creating a weighted average based on subtracting the date in the dataframe from the max date, so this is an annoying issue to deal with. I have tried reformatting all of the dates, this did not work.</p>
<p>Anything that I can try? The dates range from 1/1/2020 to 12/23/2020. But when I use max(PlayerData$Date) I am getting 3/9/2020.</p>
<p>Thanks</p>",65444227.0,1,1,,2020-12-24 23:55:03.517000+00:00,,2020-12-25 00:06:55.233000+00:00,,,,,14031540,,1,1,r,46
6,65444184,react useRef : current value is undefined,"<p>I'm following a beginner's tutorial for the <em>useState</em> and <em>useRef</em> hooks, trying to implement a simple timer in react.</p>
<p>I'm using the <code>interval</code> variable to store the value from <code>setInterval()</code></p>
<p>On click of start button, I am able to console.log the value of the interval correctly.
However on click of stop button, <code>interval.current</code> is console logged as <code>undefined</code>. The <code>stopTimer()</code> hence does not function as expected.</p>
<p>Why does interval.current print undefined when it is clearly set in startTimer (and logged there)? What am I missing here?</p>
<pre><code>import React, { useState, useRef } from 'react';

const pad = (time) =&gt; {
  return time.toString().padStart(2, &quot;0&quot;);
};


function App() {
  const [title, setTitle] = useState(&quot;Pomodoro!&quot;);
  const [timeLeft, setTimeLeft] = useState(5);
  const interval = useRef(null);

  const startTimer = () =&gt; {
    interval.current = setInterval(() =&gt; {
      setTimeLeft((timeLeft) =&gt; {
        if (timeLeft &gt;= 1) {
          return timeLeft - 1;
        }
        return 0;
      });
    }, 1000);
    console.log(interval.current, &quot; :in start&quot;);
  }

  const stopTimer = (interval) =&gt; {
    console.log(&quot;in stop: &quot;, interval.current);
    clearInterval(interval.current);
  }

  const resetTimer = () =&gt; { }

  const minutes = pad(Math.floor(timeLeft / 60));
  const seconds = pad((timeLeft - minutes * 60));


  return (

    &lt;div&gt;
      &lt;div&gt;{title}&lt;/div&gt;
      &lt;div&gt;
        &lt;span&gt;{minutes}&lt;/span&gt;
        &lt;span&gt;:&lt;/span&gt;
        &lt;span&gt;{seconds}&lt;/span&gt;
      &lt;/div&gt;
      &lt;div&gt;
        &lt;button onClick={startTimer}&gt;Start&lt;/button&gt;
        &lt;button onClick={stopTimer}&gt;Stop&lt;/button&gt;
        &lt;button onClick={resetTimer}&gt;Reset&lt;/button&gt;
      &lt;/div&gt;
    &lt;/div&gt;
  );
}

export default App;
</code></pre>
<p>output in console</p>
<blockquote>
<p>6 &quot; :in start&quot;
in stop:  undefined</p>
</blockquote>
<p>Thanks</p>",65444240.0,2,0,,2020-12-24 23:54:42.543000+00:00,,2020-12-25 00:11:03.207000+00:00,2020-12-25 00:01:40.407000+00:00,,7316608.0,,7316608,,1,1,reactjs,224
7,65444181,ServiceStack based REST service gives timeout for log running process,"<p>I need to run a 1-time long-running operation (around 10 minutes) via a ServiceStack service. I run this all on my local machine with ServiceStack running on IIS and .NET 5. Now it gives a timeout and I have no clue what is the cause (I also checked my IIS settings by the way). Part of my code (I removed some not relevant code):</p>
<pre><code>static async Task Main(string[] args)
{
   var jsonServiceClient = new JsonServiceClient(&quot;http://localhost/services&quot;);
   jsonServiceClient.Timeout = TimeSpan.FromMinutes(20);
   await CorrectCreationDates(jsonServiceClient);
}

private static async Task CorrectCreationDates(JsonServiceClient jsonServiceClient)
{
   var request = new CorrectCreationDatesRequest();
   var result = await jsonServiceClient.PostAsync(request);
}
</code></pre>
<p>This is the exception:</p>
<p>System.Net.WebException: 'The operation has timed out.'</p>
<p>This exception was originally thrown at this call stack:
ServiceStack.AsyncServiceClient.SendWebRequestAsync(string, string, object, System.Threading.CancellationToken, bool) in AsyncServiceClient.cs
System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
System.Runtime.CompilerServices.TaskAwaiter.ThrowForNonSuccess(System.Threading.Tasks.Task)
System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(System.Threading.Tasks.Task)
System.Runtime.CompilerServices.TaskAwaiter.GetResult()
Gloneco.Importer.Program.CorrectCreationDates(ServiceStack.JsonServiceClient) in Program.cs
System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
System.Runtime.CompilerServices.TaskAwaiter.ThrowForNonSuccess(System.Threading.Tasks.Task)
System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(System.Threading.Tasks.Task)
System.Runtime.CompilerServices.TaskAwaiter.GetResult()
...
[Call Stack Truncated]</p>",,1,2,,2020-12-24 23:54:24.817000+00:00,,2020-12-25 03:26:37.087000+00:00,2020-12-24 23:58:44.633000+00:00,,12340058.0,,12340058,,1,0,c#|rest|servicestack,24
8,65444177,What is the signature of a method with params?,"<p>I was about to bind <code>Expression.Lambda</code> programmatically (because of unknown/variable type parameters), and found out that if the target method uses <code>params</code>, the reflected calling is a bit different than calling directly.</p>
<p>First, in the <a href=""https://docs.microsoft.com/en-us/dotnet/api/system.linq.expressions.expression.lambda?view=net-5.0#System_Linq_Expressions_Expression_Lambda__1_System_Linq_Expressions_Expression_System_Linq_Expressions_ParameterExpression___"" rel=""nofollow noreferrer"">official documentation</a>, the &quot;signature&quot; (although this is more like a XML-doc):</p>
<pre><code>public static
System.Linq.Expressions.Expression&lt;TDelegate&gt;
    Lambda&lt;TDelegate&gt;(
        System.Linq.Expressions.Expression body,
        params System.Linq.Expressions.ParameterExpression[]? parameters
    );
</code></pre>
<p>Notice that it the 2nd param is marked as optional, and we can write <code>Expression.Lambda&lt;T&gt;(...)</code>. If in Visual Studio, you go to the disassembled declaration list, you can see this:</p>
<pre><code>public static
Expression&lt;TDelegate&gt;
    Lambda&lt;TDelegate&gt;(
        Expression body,
        params ParameterExpression[] parameters
    );
</code></pre>
<p>2nd parameter is no longer marked as option. Now when I tried to invoke this method using reflection as:</p>
<pre><code>    var lambdaFactory = typeof(Expression)
        .GetMethods()
        // Filter overloads
        .Single(x =&gt; x.ToString() == &quot;System.Linq.Expressions.Expression`1[TDelegate] Lambda[TDelegate](System.Linq.Expressions.Expression, System.Linq.Expressions.ParameterExpression[])&quot;)
        .MakeGenericMethod(myTypeArgument);
    var lambda = (LambdaExpression) lambdaFactory.Invoke(
            null,
            new object[] {
                ...
                // ,null
            }
        );
</code></pre>
<p>, I got <code>TargetParameterCountException: Parameter count mismatch.</code>. But if <code>null</code> is added as another parameter, it works perfectly.</p>
<p>This is a bit strange for me. Why does the MS Docs use <code>?</code> (optional marker)? Is the <code>params</code> argument really optional similarly to regualr option arguments, like <code>string Foo(int a = 1); var result = Foo();</code>? Or it is just a syntactic sugar? So that's why I may call directly <code>Expression.Lambda&lt;T&gt;(...)</code> in the editor, but the compiled code can be different (which is compatible with the reflection system too). If so, does that mean the method always receives the <code>null</code> value, even if I don't specify values? But if a method uses <code>params</code> argument, and nothing is passed, the argument from the method body is a valid array with <code>.Count == 0</code>, not <code>null</code>. Is it safe to pass <code>null</code> using reflection, or I should create an empty object array?</p>",65444333.0,1,1,,2020-12-24 23:53:31.203000+00:00,,2020-12-25 00:36:24.950000+00:00,,,,,2625561,,1,0,c#|reflection|signature,39
9,65444173,handling status code error try catch axios on dead connection,"<p>I am trying to use a proper way to handling my errors in my React app with axios.
When the connection is dead, I won't get a status code, so I can't check the status code of the response. What is the elegant way to handle errors with no status code?</p>
<pre><code>try {
    const res = await axios.get(&quot;/login&quot;);
} catch (error) {
    const {status} = error.response;
    if (status === 401) doSomething();
}
</code></pre>
<p>I get this error:</p>
<pre><code>[Unhandled promise rejection: TypeError: undefined is not an object
</code></pre>",,1,0,,2020-12-24 23:53:09.797000+00:00,,2020-12-25 00:13:47.327000+00:00,,,,,10566935,,1,0,javascript|reactjs|react-native|http|axios,39
