,id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
0,48270127,Can (a== 1 && a ==2 && a==3) ever evaluate to true?,"<blockquote>
  <p><strong>Moderator note:</strong> Please resist the urge to edit the code or remove this notice. The pattern of whitespace may be part of the question and therefore should not be tampered with unnecessarily. If you are in the ""whitespace is insignificant"" camp, you should be able to accept the code as is.</p>
</blockquote>

<p>Is it ever possible that <code>(a== 1 &amp;&amp; a ==2 &amp;&amp; a==3)</code> could evaluate to <code>true</code> in JavaScript?</p>

<p>This is an interview question asked by a major tech company. It happened two weeks back, but I'm still trying to find the answer. I know we never write such code in our day-to-day job, but I'm curious.</p>",48270314.0,26,17,,2018-01-15 20:20:47.787000+00:00,905,2020-10-25 13:30:34.890000+00:00,2018-11-26 16:21:37.623000+00:00,,19679.0,,1165332.0,,1,2540,javascript|ecmascript-6,377446
1,37937984,Git refusing to merge unrelated histories on rebase,"<p>During <code>git rebase origin/development</code> the following error message is shown from Git:</p>

<pre><code>fatal: refusing to merge unrelated histories
Error redoing merge 1234deadbeef1234deadbeef
</code></pre>

<p>My Git version is 2.9.0. It used to work fine in the previous version. </p>

<p>How can I continue this rebase allowing unrelated histories with the forced flag introduced in the new release?</p>",,23,7,,2016-06-21 07:23:00.370000+00:00,675,2020-12-19 04:52:15.350000+00:00,2019-06-05 11:27:42.847000+00:00,,63550.0,,2670370.0,,1,2510,git|rebase,1615514
2,52522565,Git is not working after macOS Update (xcrun: error: invalid active developer path (/Library/Developer/CommandLineTools),"<p>I updated to macOS Mojave (this happens on Catalina update too, and seems to potentially occur on every major update thereafter)</p>
<p>This morning I navigated to my work's codebase in the Command Line on my MacBook pro, typed in &quot;git status&quot; in the repository and received the error:</p>
<pre><code>xcrun: error: invalid active developer path (/Library/Developer/CommandLineTools), missing xcrun at: /Library/Developer/CommandLineTools/usr/bin/xcrun
</code></pre>
<p>How do i fix git, and command line tools?</p>",52522566.0,28,5,,2018-09-26 16:43:18.797000+00:00,267,2021-02-13 18:55:42.903000+00:00,2021-02-10 20:03:23.703000+00:00,,8221725.0,,8221725.0,,1,2070,xcode|git|macos|command-line|terminal,663038
3,44206782,Do I commit the package-lock.json file created by npm 5?,"<p><a href=""http://blog.npmjs.org/post/161081169345/v500"" rel=""noreferrer"">npm 5 was released today</a> and one of the new features include deterministic installs with the creation of a <code>package-lock.json</code> file.</p>

<p>Is this file supposed to be kept in source control?</p>

<p>I'm assuming it's similar to <a href=""https://stackoverflow.com/questions/39990017/should-i-commit-the-yarn-lock-file-and-what-is-it-for""><code>yarn.lock</code></a> and <a href=""https://stackoverflow.com/questions/12896780/should-composer-lock-be-committed-to-version-control""><code>composer.lock</code></a>, both of which are supposed to be kept in source control. </p>",44210813.0,12,5,,2017-05-26 17:03:32.577000+00:00,248,2021-02-23 18:22:43.633000+00:00,,,,,404623.0,,1,1701,node.js|git|npm|version-control|lockfile,586406
4,38892771,Can't bind to 'ngModel' since it isn't a known property of 'input',"<p>I've got the following error when launching my Angular app, even if the component is not displayed.</p>

<p>I have to comment out the <code>&lt;input&gt;</code> so that my app works.</p>

<pre class=""lang-none prettyprint-override""><code>zone.js:461 Unhandled Promise rejection: Template parse errors:
Can't bind to 'ngModel' since it isn't a known property of 'input'. (""
   &lt;div&gt;
      &lt;label&gt;Created:&lt;/label&gt;
      &lt;input  type=""text"" [ERROR -&gt;][(ngModel)]=""test"" placeholder=""foo"" /&gt;
   &lt;/div&gt;
&lt;/div&gt;""): InterventionDetails@4:28 ; Zone: &lt;root&gt; ; Task: Promise.then ; Value: 
</code></pre>

<p>I'm looking at the Hero plunker, but I don't see any difference from my code.</p>

<p>Here is the component file:</p>

<pre><code>import { Component, EventEmitter, Input, OnInit, Output } from '@angular/core';
import { Intervention } from '../../model/intervention';

@Component({
   selector: 'intervention-details',
   templateUrl: 'app/intervention/details/intervention.details.html',
   styleUrls: ['app/intervention/details/intervention.details.css']
})

export class InterventionDetails
{
   @Input() intervention: Intervention;

   public test : string = ""toto"";
}
</code></pre>",38896469.0,42,9,,2016-08-11 09:44:32.477000+00:00,154,2021-01-26 05:02:44.133000+00:00,2020-03-27 17:43:53.967000+00:00,,12820864.0,,3433751.0,,1,1589,javascript|angular|typescript|input,1006309
5,37576685,Using async/await with a forEach loop,"<p>Are there any issues with using <code>async</code>/<code>await</code> in a <code>forEach</code> loop? I'm trying to loop through an array of files and <code>await</code> on the contents of each file. </p>

<pre><code>import fs from 'fs-promise'

async function printFiles () {
  const files = await getFilePaths() // Assume this works fine

  files.forEach(async (file) =&gt; {
    const contents = await fs.readFile(file, 'utf8')
    console.log(contents)
  })
}

printFiles()
</code></pre>

<p>This code does work, but could something go wrong with this? I had someone tell me that you're not supposed to use <code>async</code>/<code>await</code> in a higher order function like this, so I just wanted to ask if there was any issue with this.</p>",37576787.0,24,2,,2016-06-01 18:55:58.750000+00:00,551,2021-02-11 01:45:56.730000+00:00,2020-01-29 01:58:41.257000+00:00,,3533365.0,,3533365.0,,1,1574,javascript|node.js|promise|async-await|ecmascript-2017,762358
6,37364973,What is the difference between Promises and Observables?,"<p>What is the difference between <code>Promise</code> and <code>Observable</code> in Angular?</p>

<p>An example on each would be helpful in understanding both the cases. In what scenario can we use each case?</p>",37365955.0,30,7,,2016-05-21 15:43:27.463000+00:00,528,2020-11-03 18:00:37.750000+00:00,2020-01-11 02:11:23.453000+00:00,,63550.0,,6364715.0,,1,1532,angular|promise|rxjs|angular-promise|angular-observable,540952
7,38713405,Open files always in a new tab,"<p>I am using Visual Studio Code 1.3.1 with the newly introduced tabs.</p>

<p>When I click on files, the first file will open in a tab. If I do not make any changes to this file, the second clicked file will open in the same tab.</p>

<p>How can I avoid this and make Visual Studio Code always open a new tab?</p>",38723094.0,26,2,,2016-08-02 06:43:01.913000+00:00,266,2021-01-03 16:48:04.923000+00:00,2019-07-19 16:36:45.167000+00:00,,3345644.0,,2629219.0,,1,1520,visual-studio-code,404462
8,36827659,Compiling an application for use in highly radioactive environments,"<p>We are compiling an embedded C++ application that is deployed in a shielded device in an environment bombarded with <a href=""https://en.wikipedia.org/wiki/Ionizing_radiation"" rel=""noreferrer"">ionizing radiation</a>. We are using GCC and cross-compiling for ARM. When deployed, our application generates some erroneous data and crashes more often than we would like. The hardware is designed for this environment, and our application has run on this platform for several years.</p>
<p>Are there changes we can make to our code, or compile-time improvements that can be made to identify/correct <a href=""https://en.wikipedia.org/wiki/Soft_error"" rel=""noreferrer"">soft errors</a> and memory-corruption caused by <a href=""https://en.wikipedia.org/wiki/Single_event_upset"" rel=""noreferrer"">single event upsets</a>? Have any other developers had success in reducing the harmful effects of soft errors on a long-running application?</p>",36831344.0,23,7,,2016-04-24 19:09:40.713000+00:00,539,2020-11-24 14:07:15.703000+00:00,2020-11-24 14:07:15.703000+00:00,,7076153.0,,183528.0,,1,1498,c++|c|gcc|embedded|fault-tolerance,121634
9,41573587,"What is the difference between venv, pyvenv, pyenv, virtualenv, virtualenvwrapper, pipenv, etc?","<p>Python 3.3 includes in its standard library the new package <code>venv</code>. What does it do, and how does it differ from all the other packages that seem to match the regex <code>(py)?(v|virtual|pip)?env</code>?</p>",41573588.0,6,8,,2017-01-10 16:27:43.207000+00:00,662,2021-02-28 01:04:19.930000+00:00,2017-01-24 14:35:49.700000+00:00,,247696.0,,247696.0,,1,1296,python|virtualenv|virtualenvwrapper|pyenv|python-venv,298506
