,word 1,word 2,frequency
0,error,message,18
1,android,studio,16
2,image,description,16
3,same,thing,15
4,best,way,14
5,csv,file,13
6,post,request,12
7,same,error,11
8,data,structure,9
9,data,frame,9
10,sql,server,9
11,web,application,8
12,same,code,8
13,source,code,8
14,bad,english,7
15,total,number,7
16,web,page,7
17,zip,code,7
18,better,way,7
19,text,file,7
20,efficient,way,7
21,http,request,7
22,simple,example,7
23,app,service,7
24,time,zone,7
25,load,balancer,7
26,other,words,7
27,app,b,7
28,right,direction,6
29,spring,boot,6
30,object,store,6
31,command,line,6
32,use,case,6
33,example,data,6
34,php,session,6
35,json,file,6
36,stack,trace,6
37,html,file,6
38,same,time,6
39,random,number,6
40,error,messages,6
41,first,column,6
42,dune,lee,6
43,lee,angles,6
44,data,volume,6
45,double,quote,6
46,vs,code,5
47,same,issue,5
48,private,routes,5
49,c:\program,files,5
50,package.json,file,5
51,front,end,5
52,current,code,5
53,config,file,5
54,excel,file,5
55,relevant,code,5
56,api,call,5
57,user,input,5
58,rest,api,5
59,pandas,dataframe,5
60,group,component,5
61,discord,bot,5
62,vector,container,5
63,visual,studio,5
64,white,space,5
65,progress,bar,5
66,sprint,board,5
67,green,screen,5
68,few,days,4
69,stack,overflow,4
70,login,page,4
71,only,way,4
72,data,type,4
73,public,ip,4
74,easy,way,4
75,mysql,database,4
76,test,case,4
77,new,server,4
78,new,tab,4
79,chrome,extension,4
80,input,field,4
81,screen,size,4
82,login,form,4
83,list,comprehension,4
84,job,description,4
85,simple,web,4
86,same,server,4
87,serverless,functions,4
88,full,code,4
89,current,frame,4
90,parent,component,4
91,get,request,4
92,rss,feed,4
93,react,app,4
94,example,code,4
95,double,quotes,4
96,nuget,package,4
97,google,drive,4
98,external,api,4
99,multiple,times,4
100,.txt,file,4
101,first,page,4
102,same,problem,4
103,customer,finder,4
104,finder,component,4
105,ec2,instance,4
106,qualifying,bean,4
107,autowire,candidate,4
108,dependency,annotations,4
109,media,queries,4
110,select,query,4
111,long,time,4
112,log,file,4
113,big,team,4
114,week,sprint,4
115,long,sprint,4
116,scroll,bar,4
117,kafka,tool,4
118,cactus,picture,4
119,licence,apk,4
120,direct,query,4
121,navigation,bar,4
122,time,stamp,4
123,header,file,4
124,src,folder,4
125,secret,mypassword,4
126,nasa,guidelines,4
127,laravel,application,4
128,other,way,4
129,raspberry,pi,4
130,mild,juicy,4
131,parent,class,4
132,sql,error,4
133,new,prcnumber,4
134,debug,console,3
135,good,idea,3
136,tkinter,import,3
137,back,button,3
138,loss,function,3
139,code,snippet,3
140,numpy,arrays,3
141,last,value,3
142,google,apps,3
143,apps,script,3
144,table,name,3
145,correct,answer,3
146,first,script,3
147,specific,time,3
148,time,frame,3
149,database,server,3
150,decision,tree,3
151,custom,field,3
152,file,name,3
153,html,code,3
154,other,users,3
155,js,file,3
156,same,date,3
157,wrong,way,3
158,compose,file,3
159,copy,elision,3
160,blank,screen,3
161,active,class,3
162,numpy,array,3
163,web,api,3
164,previous,location,3
165,todo,list,3
166,first,time,3
167,python,script,3
168,page,object,3
169,react,native,3
170,service,plan,3
171,console,app,3
172,react,component,3
173,spark,ar,3
174,loop,animation,3
175,first,frame,3
176,child,component,3
177,trading,bot,3
178,infinite,loop,3
179,.zip,file,3
180,api,url,3
181,html,tags,3
182,event,listener,3
183,first,post,3
184,blob,storage,3
185,global,styles,3
186,first,problem,3
187,bar,chart,3
188,google,maps,3
189,current,load,3
190,code,sample,3
191,same,result,3
192,first,argument,3
193,time,complexity,3
194,boot,application,3
195,text,color,3
196,md,file,3
197,first,line,3
198,status,code,3
199,many,things,3
200,map1,document,3
201,line,breaks,3
202,student,class,3
203,custom,generator,3
204,album,arts,3
205,hidden,state,3
206,new,line,3
207,linear,model,3
208,model,object,3
209,background,color,3
210,next,page,3
211,asp.net,core,3
212,other,examples,3
213,sql,database,3
214,line,numbers,3
215,next,error,3
216,powershell,script,3
217,different,dune,3
218,video,player,3
219,child,process,3
220,user,credentials,3
221,d,array,3
222,speech,api,3
223,app,browser,3
224,last,line,3
225,variable,type,3
226,entry,widget,3
227,elastic,ip,3
228,security,group,3
229,balancer,url,3
230,first,approach,3
231,more,info,3
232,separate,lists,3
233,dialog,box,3
234,drag,gesture,3
235,sv,samples,3
236,latest,version,3
237,new,sheet,3
238,work,item,3
239,github,pages,3
240,error,page,3
241,different,results,3
242,userservice,class,3
243,syntax,error,3
244,original,state,3
245,recycler,view,3
246,jar,file,3
247,form,group,3
248,application,a,3
249,entity,framework,3
250,new,controller,3
251,new,page,3
252,special,characters,3
253,excel,button,3
254,col,c,3
255,vba,module,3
256,parquet,file,3
257,admin,panel,3
258,python,program,3
259,many,thanks,3
260,creation,date,3
261,memory,allocation,3
262,heap,memory,3
263,memory,allocation&quot,3
264,submit,button,3
265,other,options,3
266,menu,button,3
267,random,sample,3
268,juiciness,rating,3
269,juicy,oranges,3
270,same,page,3
271,google,spread,3
272,spread,sheets,3
273,first,transition,3
274,admin,user,3
275,correct,approach,2
276,windows,machine,2
277,hello,world,2
278,developer,tools,2
279,payment,gateway,2
280,iot,edge,2
281,layer,device,2
282,upper,device,2
283,def,init(self,2
284,same,navbar,2
285,user,information,2
286,other,components,2
287,db,user,2
288,image,path,2
289,file,structure,2
290,entire,data,2
291,actual,code,2
292,type,x,2
293,quot;lieutenant,commander,2
294,pulse,cannons&quot,2
295,different,values,2
296,chromium,aplication,2
297,external,object,2
298,background,image,2
299,client,socket,2
300,server,pc,2
301,new,york,2
302,internal,ip,2
303,official,documentation,2
304,const,char,2
305,screen,color,2
306,real,life,2
307,correct,matrices,2
308,scale,factors,2
309,tweet,distribution,2
310,sagemaker,algorithms,2
311,remote,server,2
312,virtual,machine,2
313,more,spaces,2
314,default,helpdesk,2
315,helpdesk,team,2
316,new,version,2
317,empty,array,2
318,few,articles,2
319,bar,graph,2
320,rmarkdown,file,2
321,few,things,2
322,google,sheet,2
323,static,web,2
324,other,things,2
325,different,layouts,2
326,more,elements,2
327,csv,files,2
328,first,turn,2
329,second,turn,2
330,%,group_size,2
331,shiny,server,2
332,file,size,2
333,downloaded,file,2
334,new,file,2
335,disease,type,2
336,monitor,mode,2
337,xml,document,2
338,elliptic,curve,2
339,private,key,2
340,php,file,2
341,memory,usage,2
342,dynamic,data,2
343,different,data,2
344,other,functions,2
345,static,methods,2
346,web,site,2
347,same,line,2
348,click,event,2
349,easy,example,2
350,data,file,2
351,certain,limit,2
352,consecutive,dates&quot,2
353,last,date,2
354,consecutive,rows,2
355,session,values,2
356,csv,format,2
357,many,answers,2
358,similar,issue,2
359,strange,behavior,2
360,move,constructor,2
361,catch,err,2
362,readme,file,2
363,second,one,2
364,correct,result,2
365,file,uploads,2
366,nonzero,elements,2
367,small,sample,2
368,code,inspector,2
369,notification,error,2
370,multiple,branches,2
371,function,call,2
372,comment,object,2
373,main,problem,2
374,search,term,2
375,local,iis,2
376,iis,server,2
377,page,load,2
378,random,numbers,2
379,next,row,2
380,time,series,2
381,end,time,2
382,cgroup,driver,2
383,little,information,2
